Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-03-26,Republic of Ireland,2.0,0.0,0.0
2003-03-26,Singapore,74.0,1.0,0.0
2003-03-26,Switzerland,2.0,0.0,0.0
2003-03-26,Thailand,3.0,0.0,0.0
2003-03-26,United Kingdom,3.0,0.0,0.0
2003-03-26,United States,40.0,0.0,0.0
2003-03-26,Viet Nam,58.0,4.0,0.0
2003-03-27,Canada,28.0,3.0,0.0
2003-03-27,China,806.0,34.0,0.0
2003-03-27,Hong Kong SAR, China,367.0,10.0,0.0
2003-03-27,Taiwan, China,6.0,0.0,0.0
2003-03-27,France,1.0,0.0,0.0
2003-03-27,Germany,4.0,0.0,0.0
2003-03-27,Italy,2.0,0.0,0.0
2003-03-27,Republic of Ireland,2.0,0.0,0.0
2003-03-27,Romania,3.0,0.0,0.0
2003-03-27,Singapore,78.0,2.0,0.0
2003-03-27,Switzerland,2.0,0.0,0.0
2003-03-27,Thailand,3.0,0.0,0.0
2003-03-27,United Kingdom,3.0,0.0,0.0
2003-03-27,United States,45.0,0.0,0.0
2003-03-27,Viet Nam,58.0,4.0,0.0
2003-03-28,Canada,29.0,3.0,0.0
2003-03-28,China,806.0,34.0,0.0
2003-03-28,Hong Kong SAR, China,425.0,10.0,0.0
2003-03-28,Taiwan, China,10.0,0.0,0.0
2003-03-28,France,1.0,0.0,0.0
2003-03-28,Germany,4.0,0.0,0.0
2003-03-28,Italy,2.0,0.0,0.0
2003-03-28,Republic of Ireland,2.0,0.0,0.0
2003-03-28,Romania,3.0,0.0,0.0
2003-03-28,Singapore,86.0,2.0,0.0
2003-03-28,Switzerland,2.0,0.0,0.0
2003-03-28,Thailand,3.0,0.0,0.0
2003-03-28,United Kingdom,3.0,0.0,0.0
2003-03-28,United States,51.0,0.0,0.0
2003-03-28,Viet Nam,58.0,4.0,0.0
2003-03-29,Canada,37.0,3.0,0.0
2003-03-29,China,806.0,34.0,0.0
2003-03-29,Hong Kong SAR, China,470.0,10.0,0.0
2003-03-29,Taiwan, China,10.0,0.0,0.0
2003-03-29,France,1.0,0.0,0.0
2003-03-29,Germany,4.0,0.0,0.0
2003-03-29,Italy,2.0,0.0,0.0
2003-03-29,Republic of Ireland,2.0,0.0,0.0
2003-03-29,Romania,3.0,0.0,0.0
2003-03-29,Singapore,89.0,2.0,0.0
2003-03-29,Switzerland,3.0,0.0,0.0
2003-03-29,Thailand,3.0,1.0,0.0
2003-03-29,United Kingdom,3.0,0.0,0.0
2003-03-29,United States,59.0,0.0,0.0
2003-03-29,Viet Nam,58.0,4.0,0.0
2003-03-31,Canada,44.0,4.0,0.0
2003-03-31,China,806.0,34.0,0.0
2003-03-31,Hong Kong SAR, China,530.0,13.0,0.0
2003-03-31,Taiwan, China,10.0,0.0,0.0
2003-03-31,France,1.0,0.0,0.0
2003-03-31,Germany,5.0,0.0,0.0
2003-03-31,Italy,2.0,0.0,0.0
2003-03-31,Republic of Ireland,2.0,0.0,0.0
2003-03-31,Romania,3.0,0.0,0.0
2003-03-31,Singapore,91.0,2.0,0.0
2003-03-31,Switzerland,3.0,0.0,0.0
2003-03-31,Thailand,5.0,1.0,0.0
2003-03-31,United Kingdom,3.0,0.0,0.0
2003-03-31,United States,59.0,0.0,0.0
2003-03-31,Viet Nam,58.0,4.0,0.0
2003-04-01,Australia,1.0,0.0,0.0
2003-04-01,Belgium,1.0,0.0,0.0
2003-04-01,Canada,53.0,4.0,0.0
2003-04-01,China,806.0,34.0,0.0
2003-04-01,Hong Kong SAR, China,685.0,16.0,0.0
2003-04-01,Taiwan, China,13.0,0.0,0.0
2003-04-01,France,1.0,0.0,0.0
2003-04-01,Germany,5.0,0.0,0.0
2003-04-01,Italy,3.0,0.0,0.0
2003-04-01,Republic of Ireland,2.0,0.0,0.0
2003-04-01,Romania,3.0,0.0,0.0
2003-04-01,Singapore,92.0,3.0,0.0
2003-04-01,Switzerland,3.0,0.0,0.0
2003-04-01,Thailand,6.0,1.0,0.0
2003-04-01,United Kingdom,3.0,0.0,0.0
2003-04-01,United States,69.0,0.0,0.0
2003-04-01,Viet Nam,58.0,4.0,0.0
2003-04-02,Australia,1.0,0.0,0.0
2003-04-02,Belgium,1.0,0.0,0.0
2003-04-02,Canada,58.0,6.0,0.0
2003-04-02,China,1190.0,46.0,0.0
2003-04-02,Hong Kong SAR, China,708.0,16.0,0.0
2003-04-02,Taiwan, China,13.0,0.0,0.0
2003-04-02,France,1.0,0.0,0.0
2003-04-02,Germany,5.0,0.0,0.0
2003-04-02,Italy,3.0,0.0,0.0
2003-04-02,Republic of Ireland,2.0,0.0,0.0
2003-04-02,Romania,3.0,0.0,0.0
2003-04-02,Singapore,95.0,4.0,0.0
2003-04-02,Spain,1.0,0.0,0.0
2003-04-02,Switzerland,2.0,0.0,0.0
2003-04-02,Thailand,7.0,2.0,0.0
2003-04-02,United Kingdom,3.0,0.0,0.0
2003-04-02,United States,72.0,0.0,0.0
2003-04-02,Viet Nam,58.0,4.0,0.0
2003-04-03,Australia,1.0,0.0,0.0
2003-04-03,Belgium,1.0,0.0,0.0
2003-04-03,Brazil,1.0,0.0,0.0
2003-04-03,Canada,62.0,6.0,0.0
2003-04-03,China,1190.0,46.0,0.0
2003-04-03,Hong Kong SAR, China,734.0,17.0,0.0
2003-04-03,Taiwan, China,14.0,0.0,0.0
2003-04-03,France,3.0,0.0,0.0
2003-04-03,Germany,5.0,0.0,0.0
2003-04-03,Italy,3.0,0.0,0.0
2003-04-03,Republic of Ireland,1.0,0.0,0.0
2003-04-03,Romania,1.0,0.0,0.0
2003-04-03,Singapore,98.0,4.0,0.0
2003-04-03,Switzerland,2.0,0.0,0.0
2003-04-03,Thailand,7.0,2.0,0.0
2003-04-03,United Kingdom,3.0,0.0,0.0
2003-04-03,United States,85.0,0.0,0.0
2003-04-03,Viet Nam,59.0,4.0,0.0
2003-04-04,Australia,1.0,0.0,0.0
2003-04-04,Belgium,1.0,0.0,0.0
2003-04-04,Brazil,1.0,0.0,0.0
2003-04-04,Canada,69.0,7.0,0.0
2003-04-04,China,1220.0,49.0,0.0
2003-04-04,Hong Kong SAR, China,761.0,17.0,0.0
2003-04-04,Taiwan, China,15.0,0.0,0.0
2003-04-04,France,3.0,0.0,0.0
2003-04-04,Germany,5.0,0.0,0.0
2003-04-04,Italy,3.0,0.0,0.0
2003-04-04,Republic of Ireland,1.0,0.0,0.0
2003-04-04,Romania,1.0,0.0,0.0
2003-04-04,Singapore,100.0,5.0,0.0
2003-04-04,Spain,1.0,0.0,0.0
2003-04-04,Switzerland,2.0,0.0,0.0
2003-04-04,Thailand,7.0,2.0,0.0
2003-04-04,United Kingdom,3.0,0.0,0.0
2003-04-04,United States,100.0,0.0,0.0
2003-04-04,Viet Nam,59.0,4.0,0.0
2003-04-05,Australia,1.0,0.0,0.0
2003-04-05,Belgium,1.0,0.0,0.0
2003-04-05,Brazil,1.0,0.0,0.0
2003-04-05,Canada,74.0,7.0,0.0
2003-04-05,China,1220.0,49.0,0.0
2003-04-05,Hong Kong SAR, China,800.0,20.0,0.0
2003-04-05,Taiwan, China,17.0,0.0,0.0
2003-04-05,France,3.0,0.0,0.0
2003-04-05,Germany,5.0,0.0,0.0
2003-04-05,Italy,3.0,0.0,0.0
2003-04-05,Malaysia,1.0,1.0,0.0
2003-04-05,Republic of Ireland,1.0,0.0,0.0
2003-04-05,Romania,1.0,0.0,0.0
2003-04-05,Singapore,101.0,6.0,0.0
2003-04-05,Spain,1.0,0.0,0.0
2003-04-05,Switzerland,1.0,0.0,0.0
2003-04-05,Thailand,7.0,2.0,0.0
2003-04-05,United Kingdom,4.0,0.0,0.0
2003-04-05,United States,115.0,0.0,0.0
2003-04-05,Viet Nam,59.0,4.0,0.0
2003-04-07,Australia,1.0,0.0,0.0
2003-04-07,Brazil,1.0,0.0,0.0
2003-04-07,Canada,90.0,9.0,0.0
2003-04-07,China,1268.0,53.0,0.0
2003-04-07,Hong Kong SAR, China,883.0,23.0,0.0
2003-04-07,Taiwan, China,21.0,0.0,0.0
2003-04-07,France,3.0,0.0,0.0
2003-04-07,Germany,5.0,0.0,0.0
2003-04-07,Italy,3.0,0.0,0.0
2003-04-07,Malaysia,1.0,1.0,0.0
2003-04-07,Republic of Ireland,1.0,0.0,0.0
2003-04-07,Romania,1.0,0.0,0.0
2003-04-07,Singapore,106.0,6.0,0.0
2003-04-07,Spain,1.0,0.0,0.0
2003-04-07,Switzerland,1.0,0.0,0.0
2003-04-07,Thailand,7.0,2.0,0.0
2003-04-07,United Kingdom,5.0,0.0,0.0
2003-04-07,United States,141.0,0.0,0.0
2003-04-07,Viet Nam,62.0,4.0,0.0
2003-04-08,Australia,1.0,0.0,0.0
2003-04-08,Brazil,1.0,0.0,0.0
2003-04-08,Canada,91.0,10.0,0.0
2003-04-08,China,1279.0,53.0,0.0
2003-04-08,Hong Kong SAR, China,928.0,25.0,0.0
2003-04-08,Taiwan, China,19.0,0.0,0.0
2003-04-08,France,4.0,0.0,0.0
2003-04-08,Germany,5.0,0.0,0.0
2003-04-08,Italy,3.0,0.0,0.0
2003-04-08,Malaysia,1.0,1.0,0.0
2003-04-08,Republic of Ireland,1.0,0.0,0.0
2003-04-08,Romania,1.0,0.0,0.0
2003-04-08,Singapore,113.0,8.0,0.0
2003-04-08,Spain,1.0,0.0,0.0
2003-04-08,Switzerland,1.0,0.0,0.0
2003-04-08,Thailand,7.0,2.0,0.0
2003-04-08,United Kingdom,5.0,0.0,0.0
2003-04-08,United States,148.0,0.0,0.0
2003-04-08,Viet Nam,62.0,4.0,0.0
2003-04-09,Brazil,1.0,0.0,0.0
2003-04-09,Canada,94.0,10.0,0.0
2003-04-09,China,1280.0,53.0,0.0
2003-04-09,Hong Kong SAR, China,970.0,27.0,0.0
2003-04-09,Taiwan, China,19.0,0.0,0.0
2003-04-09,France,4.0,0.0,0.0
2003-04-09,Germany,5.0,0.0,0.0
2003-04-09,Italy,3.0,0.0,0.0
2003-04-09,Malaysia,1.0,1.0,0.0
2003-04-09,Republic of Ireland,1.0,0.0,0.0
2003-04-09,Romania,1.0,0.0,0.0
2003-04-09,Singapore,118.0,9.0,0.0
2003-04-09,Spain,1.0,0.0,0.0
2003-04-09,Switzerland,1.0,0.0,0.0
2003-04-09,Thailand,7.0,2.0,0.0
2003-04-09,United Kingdom,5.0,0.0,0.0
2003-04-09,United States,149.0,0.0,0.0
2003-04-09,Viet Nam,62.0,4.0,0.0
2003-04-10,Brazil,2.0,0.0,0.0
2003-04-10,Canada,97.0,10.0,22.0
2003-04-10,China,1290.0,55.0,1025.0
2003-04-10,Hong Kong SAR, China,998.0,30.0,154.0
2003-04-10,Taiwan, China,19.0,0.0,5.0
2003-04-10,France,4.0,0.0,0.0
2003-04-10,Germany,6.0,0.0,2.0
2003-04-10,Italy,3.0,0.0,1.0
2003-04-10,Kuwait,1.0,0.0,0.0
2003-04-10,Malaysia,3.0,1.0,0.0
2003-04-10,Republic of Ireland,1.0,0.0,1.0
2003-04-10,Romania,1.0,0.0,0.0
2003-04-10,Singapore,126.0,9.0,75.0
2003-04-10,Spain,1.0,0.0,0.0
2003-04-10,Switzerland,1.0,0.0,1.0
2003-04-10,Thailand,7.0,2.0,5.0
2003-04-10,United Kingdom,5.0,0.0,3.0
2003-04-10,United States,154.0,0.0,0.0
2003-04-10,Viet Nam,62.0,4.0,43.0
2003-04-11,Brazil,2.0,0.0,0.0
2003-04-11,Canada,98.0,10.0,25.0
2003-04-11,China,1309.0,58.0,1037.0
2003-04-11,Hong Kong SAR, China,1059.0,32.0,169.0
2003-04-11,Taiwan, China,21.0,0.0,6.0
2003-04-11,France,5.0,0.0,0.0
2003-04-11,Germany,6.0,0.0,4.0
2003-04-11,Italy,3.0,0.0,2.0
2003-04-11,Japan,4.0,0.0,0.0
2003-04-11,Kuwait,1.0,0.0,0.0
2003-04-11,Malaysia,4.0,1.0,0.0
2003-04-11,Republic of Ireland,1.0,0.0,1.0
2003-04-11,Romania,1.0,0.0,0.0
2003-04-11,Singapore,133.0,9.0,77.0
2003-04-11,South Africa,1.0,0.0,0.0
2003-04-11,Spain,1.0,0.0,0.0
2003-04-11,Switzerland,1.0,0.0,1.0
2003-04-11,Thailand,7.0,2.0,5.0
2003-04-11,United Kingdom,5.0,0.0,3.0
2003-04-11,United States,166.0,0.0,0.0
2003-04-11,Viet Nam,62.0,4.0,43.0
2003-04-12,Brazil,2.0,0.0,0.0
2003-04-12,Canada,101.0,10.0,26.0
2003-04-12,China,1309.0,58.0,1037.0
2003-04-12,Hong Kong SAR, China,1108.0,35.0,215.0
2003-04-12,Taiwan, China,23.0,0.0,7.0
2003-04-12,France,5.0,0.0,1.0
2003-04-12,Germany,6.0,0.0,4.0
2003-04-12,Italy,3.0,0.0,2.0
2003-04-12,Japan,4.0,0.0,0.0
2003-04-12,Kuwait,1.0,0.0,0.0
2003-04-12,Malaysia,4.0,1.0,0.0
2003-04-12,Republic of Ireland,1.0,0.0,1.0
2003-04-12,Romania,1.0,0.0,0.0
2003-04-12,Singapore,147.0,9.0,77.0
2003-04-12,South Africa,1.0,0.0,0.0
2003-04-12,Spain,1.0,0.0,0.0
2003-04-12,Switzerland,1.0,0.0,1.0
2003-04-12,Thailand,8.0,2.0,5.0
2003-04-12,United Kingdom,6.0,0.0,3.0
2003-04-12,United States,166.0,0.0,0.0
2003-04-12,China,62.0,4.0,46.0
2003-04-14,Brazil,2.0,0.0,0.0
2003-04-14,Canada,100.0,13.0,27.0
2003-04-14,China,1418.0,64.0,1088.0
2003-04-14,Hong Kong SAR, China,1190.0,47.0,229.0
2003-04-14,Taiwan, China,23.0,0.0,7.0
2003-04-14,France,5.0,0.0,1.0
2003-04-14,Germany,6.0,0.0,4.0
2003-04-14,Indonesia,1.0,0.0,0.0
2003-04-14,Italy,3.0,0.0,2.0
2003-04-14,Kuwait,1.0,0.0,0.0
2003-04-14,Malaysia,4.0,1.0,0.0
2003-04-14,Philippines,1.0,0.0,1.0
2003-04-14,Republic of Ireland,1.0,0.0,1.0
2003-04-14,Romania,1.0,0.0,0.0
2003-04-14,Singapore,158.0,12.0,84.0
2003-04-14,South Africa,1.0,0.0,0.0
2003-04-14,Spain,1.0,0.0,0.0
2003-04-14,Sweden,1.0,0.0,0.0
2003-04-14,Switzerland,1.0,0.0,1.0
2003-04-14,Thailand,8.0,2.0,5.0
2003-04-14,United Kingdom,6.0,0.0,3.0
2003-04-14,United States,174.0,0.0,0.0
2003-04-14,Viet Nam,63.0,5.0,46.0
2003-04-15,Brazil,2.0,0.0,0.0
2003-04-15,Canada,100.0,13.0,27.0
2003-04-15,China,1418.0,64.0,1088.0
2003-04-15,Hong Kong SAR, China,1232.0,56.0,243.0
2003-04-15,Taiwan, China,23.0,0.0,7.0
2003-04-15,France,5.0,0.0,1.0
2003-04-15,Germany,6.0,0.0,4.0
2003-04-15,Indonesia,1.0,0.0,0.0
2003-04-15,Italy,3.0,0.0,2.0
2003-04-15,Japan,1.0,0.0,0.0
2003-04-15,Kuwait,1.0,0.0,0.0
2003-04-15,Malaysia,4.0,1.0,0.0
2003-04-15,Philippines,1.0,0.0,1.0
2003-04-15,Republic of Ireland,1.0,0.0,1.0
2003-04-15,Romania,1.0,0.0,1.0
2003-04-15,Singapore,162.0,13.0,85.0
2003-04-15,South Africa,1.0,0.0,0.0
2003-04-15,Spain,1.0,0.0,0.0
2003-04-15,Sweden,1.0,0.0,0.0
2003-04-15,Switzerland,1.0,0.0,1.0
2003-04-15,Thailand,8.0,2.0,5.0
2003-04-15,United Kingdom,6.0,0.0,3.0
2003-04-15,United States,193.0,0.0,0.0
2003-04-15,Viet Nam,63.0,5.0,46.0
2003-04-16,Brazil,2.0,0.0,0.0
2003-04-16,Canada,103.0,13.0,37.0
2003-04-16,China,1432.0,64.0,1094.0
2003-04-16,Hong Kong SAR, China,1268.0,61.0,257.0
2003-04-16,Taiwan, China,27.0,0.0,10.0
2003-04-16,France,5.0,0.0,1.0
2003-04-16,Germany,6.0,0.0,4.0
2003-04-16,Indonesia,1.0,0.0,0.0
2003-04-16,Italy,3.0,0.0,2.0
2003-04-16,Japan,1.0,0.0,0.0
2003-04-16,Kuwait,1.0,0.0,0.0
2003-04-16,Malaysia,5.0,1.0,0.0
2003-04-16,Philippines,1.0,0.0,1.0
2003-04-16,Republic of Ireland,1.0,0.0,1.0
2003-04-16,Romania,1.0,0.0,1.0
2003-04-16,Singapore,162.0,13.0,85.0
2003-04-16,South Africa,1.0,0.0,0.0
2003-04-16,Spain,1.0,0.0,0.0
2003-04-16,Sweden,1.0,0.0,0.0
2003-04-16,Switzerland,1.0,0.0,1.0
2003-04-16,Thailand,8.0,2.0,5.0
2003-04-16,United Kingdom,6.0,0.0,3.0
2003-04-16,United States,193.0,0.0,0.0
2003-04-16,Viet Nam,63.0,5.0,46.0
2003-04-17,Australia,3.0,0.0,3.0
2003-04-17,Brazil,2.0,0.0,0.0
2003-04-17,Canada,126.0,12.0,46.0
2003-04-17,China,1457.0,65.0,1107.0
2003-04-17,Hong Kong SAR, China,1297.0,65.0,272.0
2003-04-17,Taiwan, China,27.0,0.0,10.0
2003-04-17,France,5.0,0.0,1.0
2003-04-17,Germany,6.0,0.0,4.0
2003-04-17,India,1.0,0.0,0.0
2003-04-17,Indonesia,1.0,0.0,0.0
2003-04-17,Italy,3.0,0.0,2.0
2003-04-17,Japan,2.0,0.0,0.0
2003-04-17,Kuwait,1.0,0.0,0.0
2003-04-17,Malaysia,5.0,1.0,0.0
2003-04-17,Mongolia,3.0,0.0,3.0
2003-04-17,Philippines,1.0,0.0,1.0
2003-04-17,Republic of Ireland,1.0,0.0,1.0
2003-04-17,Romania,1.0,0.0,1.0
2003-04-17,Singapore,167.0,15.0,91.0
2003-04-17,South Africa,1.0,0.0,0.0
2003-04-17,Spain,1.0,0.0,0.0
2003-04-17,Sweden,1.0,0.0,0.0
2003-04-17,Switzerland,1.0,0.0,1.0
2003-04-17,Thailand,8.0,2.0,5.0
2003-04-17,United Kingdom,6.0,0.0,3.0
2003-04-17,United States,199.0,0.0,0.0
2003-04-17,Viet Nam,63.0,5.0,46.0
2003-04-18,Australia,3.0,0.0,3.0
2003-04-18,Brazil,2.0,0.0,0.0
2003-04-18,Canada,132.0,12.0,54.0
2003-04-18,China,1512.0,65.0,1140.0
2003-04-18,Hong Kong SAR, China,1358.0,81.0,363.0
2003-04-18,Taiwan, China,29.0,0.0,17.0
2003-04-18,France,5.0,0.0,1.0
2003-04-18,Germany,6.0,0.0,4.0
2003-04-18,India,1.0,0.0,1.0
2003-04-18,Indonesia,1.0,0.0,0.0
2003-04-18,Italy,3.0,0.0,2.0
2003-04-18,Japan,4.0,0.0,0.0
2003-04-18,Kuwait,1.0,0.0,0.0
2003-04-18,Malaysia,5.0,1.0,0.0
2003-04-18,Mongolia,3.0,0.0,3.0
2003-04-18,Philippines,1.0,0.0,1.0
2003-04-18,Republic of Ireland,1.0,0.0,1.0
2003-04-18,Romania,1.0,0.0,1.0
2003-04-18,Singapore,177.0,16.0,100.0
2003-04-18,South Africa,1.0,0.0,0.0
2003-04-18,Spain,1.0,0.0,0.0
2003-04-18,Sweden,3.0,0.0,0.0
2003-04-18,Switzerland,1.0,0.0,1.0
2003-04-18,Thailand,7.0,2.0,6.0
2003-04-18,United Kingdom,6.0,0.0,5.0
2003-04-18,United States,220.0,0.0,0.0
2003-04-18,Viet Nam,63.0,5.0,46.0
2003-04-19,Australia,3.0,0.0,3.0
2003-04-19,Brazil,2.0,0.0,0.0
2003-04-19,Canada,132.0,12.0,54.0
2003-04-19,China,1512.0,65.0,1140.0
2003-04-19,Hong Kong SAR, China,1358.0,81.0,363.0
2003-04-19,Taiwan, China,29.0,0.0,17.0
2003-04-19,France,5.0,0.0,1.0
2003-04-19,Germany,6.0,0.0,4.0
2003-04-19,India,1.0,0.0,1.0
2003-04-19,Indonesia,1.0,0.0,0.0
2003-04-19,Italy,3.0,0.0,2.0
2003-04-19,Japan,4.0,0.0,0.0
2003-04-19,Kuwait,1.0,0.0,0.0
2003-04-19,Malaysia,5.0,1.0,0.0
2003-04-19,Mongolia,3.0,0.0,3.0
2003-04-19,Philippines,1.0,0.0,1.0
2003-04-19,Republic of Ireland,1.0,0.0,1.0
2003-04-19,Romania,1.0,0.0,1.0
2003-04-19,Singapore,177.0,16.0,100.0
2003-04-19,South Africa,1.0,0.0,0.0
2003-04-19,Spain,1.0,0.0,0.0
2003-04-19,Sweden,3.0,0.0,0.0
2003-04-19,Switzerland,1.0,0.0,1.0
2003-04-19,Thailand,7.0,2.0,6.0
2003-04-19,United Kingdom,6.0,0.0,5.0
2003-04-19,United States,220.0,0.0,0.0
2003-04-19,Viet Nam,63.0,5.0,46.0
2003-04-21,Australia,3.0,0.0,3.0
2003-04-21,Brazil,2.0,0.0,0.0
2003-04-21,Canada,132.0,12.0,54.0
2003-04-21,China,1959.0,86.0,1187.0
2003-04-21,Hong Kong SAR, China,1402.0,94.0,436.0
2003-04-21,Taiwan, China,29.0,0.0,17.0
2003-04-21,France,5.0,0.0,1.0
2003-04-21,Germany,6.0,0.0,4.0
2003-04-21,India,1.0,0.0,1.0
2003-04-21,Indonesia,1.0,0.0,0.0
2003-04-21,Italy,3.0,0.0,2.0
2003-04-21,Japan,5.0,0.0,0.0
2003-04-21,Kuwait,1.0,0.0,1.0
2003-04-21,Malaysia,6.0,1.0,0.0
2003-04-21,Mongolia,3.0,0.0,3.0
2003-04-21,Philippines,2.0,1.0,1.0
2003-04-21,Republic of Ireland,1.0,0.0,1.0
2003-04-21,Romania,1.0,0.0,1.0
2003-04-21,Singapore,178.0,16.0,104.0
2003-04-21,South Africa,1.0,0.0,0.0
2003-04-21,Spain,1.0,0.0,0.0
2003-04-21,Sweden,3.0,0.0,0.0
2003-04-21,Switzerland,1.0,0.0,1.0
2003-04-21,Thailand,7.0,2.0,5.0
2003-04-21,United Kingdom,6.0,0.0,5.0
2003-04-21,United States,39.0,0.0,0.0
2003-04-21,Viet Nam,63.0,5.0,46.0
2003-04-22,Australia,3.0,0.0,3.0
2003-04-22,Brazil,2.0,0.0,0.0
2003-04-22,Canada,139.0,13.0,65.0
2003-04-22,China,2001.0,92.0,1201.0
2003-04-22,Hong Kong SAR, China,1434.0,99.0,461.0
2003-04-22,Taiwan, China,29.0,0.0,21.0
2003-04-22,France,5.0,0.0,1.0
2003-04-22,Germany,7.0,0.0,6.0
2003-04-22,India,1.0,0.0,1.0
2003-04-22,Indonesia,1.0,0.0,0.0
2003-04-22,Italy,3.0,0.0,2.0
2003-04-22,Japan,2.0,0.0,0.0
2003-04-22,Kuwait,1.0,0.0,1.0
2003-04-22,Malaysia,6.0,1.0,0.0
2003-04-22,Mongolia,3.0,0.0,3.0
2003-04-22,Philippines,2.0,1.0,1.0
2003-04-22,Republic of Ireland,1.0,0.0,1.0
2003-04-22,Romania,1.0,0.0,1.0
2003-04-22,Singapore,186.0,16.0,110.0
2003-04-22,South Africa,1.0,0.0,0.0
2003-04-22,Spain,1.0,0.0,0.0
2003-04-22,Sweden,3.0,0.0,0.0
2003-04-22,Switzerland,1.0,0.0,1.0
2003-04-22,Thailand,7.0,2.0,5.0
2003-04-22,United Kingdom,6.0,0.0,5.0
2003-04-22,United States,38.0,0.0,0.0
2003-04-22,Viet Nam,63.0,5.0,46.0
2003-04-23,Australia,4.0,0.0,3.0
2003-04-23,Brazil,2.0,0.0,0.0
2003-04-23,Canada,140.0,13.0,65.0
2003-04-23,China,2305.0,106.0,1231.0
2003-04-23,Hong Kong SAR, China,1458.0,105.0,522.0
2003-04-23,Taiwan, China,37.0,0.0,21.0
2003-04-23,France,5.0,0.0,1.0
2003-04-23,Germany,7.0,0.0,6.0
2003-04-23,India,1.0,0.0,1.0
2003-04-23,Indonesia,1.0,0.0,0.0
2003-04-23,Italy,3.0,0.0,2.0
2003-04-23,Japan,2.0,0.0,0.0
2003-04-23,Kuwait,1.0,0.0,1.0
2003-04-23,Malaysia,5.0,2.0,2.0
2003-04-23,Mongolia,3.0,0.0,3.0
2003-04-23,Philippines,2.0,1.0,1.0
2003-04-23,Republic of Ireland,1.0,0.0,1.0
2003-04-23,Romania,1.0,0.0,1.0
2003-04-23,Singapore,189.0,17.0,114.0
2003-04-23,South Africa,1.0,0.0,0.0
2003-04-23,Spain,1.0,0.0,0.0
2003-04-23,Sweden,3.0,0.0,0.0
2003-04-23,Switzerland,1.0,0.0,1.0
2003-04-23,Thailand,7.0,2.0,5.0
2003-04-23,United Kingdom,6.0,0.0,5.0
2003-04-23,United States,39.0,0.0,0.0
2003-04-23,Viet Nam,63.0,5.0,46.0
2003-04-24,Brazil,2.0,0.0,2.0
2003-04-24,Bulgaria,1.0,0.0,0.0
2003-04-24,Canada,140.0,15.0,67.0
2003-04-24,China,2422.0,110.0,1254.0
2003-04-24,Hong Kong SAR, China,1488.0,109.0,567.0
2003-04-24,Taiwan, China,37.0,0.0,21.0
2003-04-24,France,5.0,0.0,1.0
2003-04-24,Germany,7.0,0.0,6.0
2003-04-24,India,1.0,0.0,1.0
2003-04-24,Indonesia,1.0,0.0,1.0
2003-04-24,Italy,4.0,0.0,3.0
2003-04-24,Japan,2.0,0.0,0.0
2003-04-24,Kuwait,1.0,0.0,1.0
2003-04-24,Malaysia,5.0,2.0,2.0
2003-04-24,Mongolia,3.0,0.0,3.0
2003-04-24,Philippines,2.0,1.0,1.0
2003-04-24,Republic of Ireland,1.0,0.0,1.0
2003-04-24,Romania,1.0,0.0,1.0
2003-04-24,Singapore,192.0,19.0,118.0
2003-04-24,South Africa,1.0,0.0,0.0
2003-04-24,Spain,1.0,0.0,1.0
2003-04-24,Sweden,3.0,0.0,2.0
2003-04-24,Switzerland,1.0,0.0,1.0
2003-04-24,Thailand,8.0,2.0,5.0
2003-04-24,United Kingdom,6.0,0.0,6.0
2003-04-24,United States,37.0,0.0,0.0
2003-04-24,Viet Nam,63.0,5.0,49.0
2003-04-25,Brazil,2.0,0.0,2.0
2003-04-25,Bulgaria,1.0,0.0,0.0
2003-04-25,Canada,140.0,15.0,74.0
2003-04-25,China,2601.0,115.0,1277.0
2003-04-25,Hong Kong SAR, China,1510.0,115.0,614.0
2003-04-25,Taiwan, China,41.0,0.0,21.0
2003-04-25,France,5.0,0.0,1.0
2003-04-25,Germany,7.0,0.0,6.0
2003-04-25,India,1.0,0.0,1.0
2003-04-25,Indonesia,1.0,0.0,1.0
2003-04-25,Italy,4.0,0.0,3.0
2003-04-25,Japan,2.0,0.0,0.0
2003-04-25,Kuwait,1.0,0.0,1.0
2003-04-25,Malaysia,5.0,2.0,2.0
2003-04-25,Mongolia,3.0,0.0,3.0
2003-04-25,Philippines,2.0,1.0,1.0
2003-04-25,Republic of Ireland,1.0,0.0,1.0
2003-04-25,Romania,1.0,0.0,1.0
2003-04-25,Singapore,195.0,19.0,126.0
2003-04-25,South Africa,1.0,0.0,0.0
2003-04-25,Spain,1.0,0.0,1.0
2003-04-25,Sweden,3.0,0.0,2.0
2003-04-25,Switzerland,1.0,0.0,1.0
2003-04-25,Thailand,8.0,2.0,5.0
2003-04-25,United Kingdom,6.0,0.0,6.0
2003-04-25,United States,39.0,0.0,0.0
2003-04-25,Viet Nam,63.0,5.0,53.0
2003-04-26,Brazil,2.0,0.0,2.0
2003-04-26,Bulgaria,1.0,0.0,0.0
2003-04-26,Canada,142.0,18.0,77.0
2003-04-26,China,2753.0,122.0,1285.0
2003-04-26,Hong Kong SAR, China,1527.0,121.0,632.0
2003-04-26,Taiwan, China,49.0,0.0,25.0
2003-04-26,France,5.0,0.0,1.0
2003-04-26,Germany,7.0,0.0,6.0
2003-04-26,India,1.0,0.0,1.0
