Unnamed: 0,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,sepal_width_length_ratio,petal_width_length_ratio,Species
0,1,5.1,3.5,1.4,0.2,1.457142857142857,6.999999999999999,Iris-setosa
1,2,4.9,3.0,1.4,0.2,1.6333333333333335,6.999999999999999,Iris-setosa
2,3,4.7,3.2,1.3,0.2,1.46875,6.5,Iris-setosa
3,4,4.6,3.1,1.5,0.2,1.4838709677419353,7.5,Iris-setosa
4,5,5.0,3.6,1.4,0.2,1.3888888888888888,6.999999999999999,Iris-setosa
5,6,5.4,3.9,1.7,0.4,1.3846153846153848,4.25,Iris-setosa
6,7,4.6,3.4,1.4,0.3,1.352941176470588,4.666666666666667,Iris-setosa
7,8,5.0,3.4,1.5,0.2,1.4705882352941178,7.5,Iris-setosa
8,9,4.4,2.9,1.4,0.2,1.517241379310345,6.999999999999999,Iris-setosa
9,10,4.9,3.1,1.5,0.1,1.5806451612903227,15.0,Iris-setosa
10,11,5.4,3.7,1.5,0.2,1.4594594594594594,7.5,Iris-setosa
11,12,4.8,3.4,1.6,0.2,1.411764705882353,8.0,Iris-setosa
12,13,4.8,3.0,1.4,0.1,1.6,13.999999999999998,Iris-setosa
13,14,4.3,3.0,1.1,0.1,1.4333333333333331,11.0,Iris-setosa
14,15,5.8,4.0,1.2,0.2,1.45,5.999999999999999,Iris-setosa
15,16,5.7,4.4,1.5,0.4,1.2954545454545454,3.75,Iris-setosa
16,17,5.4,3.9,1.3,0.4,1.3846153846153848,3.25,Iris-setosa
17,18,5.1,3.5,1.4,0.3,1.457142857142857,4.666666666666667,Iris-setosa
18,19,5.7,3.8,1.7,0.3,1.5000000000000002,5.666666666666667,Iris-setosa
19,20,5.1,3.8,1.5,0.3,1.3421052631578947,5.0,Iris-setosa
20,21,5.4,3.4,1.7,0.2,1.5882352941176472,8.5,Iris-setosa
21,22,5.1,3.7,1.5,0.4,1.3783783783783785,3.75,Iris-setosa
22,23,4.6,3.6,1.0,0.2,1.2777777777777777,5.0,Iris-setosa
23,24,5.1,3.3,1.7,0.5,1.5454545454545454,3.4,Iris-setosa
24,25,4.8,3.4,1.9,0.2,1.411764705882353,9.499999999999998,Iris-setosa
25,26,5.0,3.0,1.6,0.2,1.6666666666666667,8.0,Iris-setosa
26,27,5.0,3.4,1.6,0.4,1.4705882352941178,4.0,Iris-setosa
27,28,5.2,3.5,1.5,0.2,1.4857142857142858,7.5,Iris-setosa
28,29,5.2,3.4,1.4,0.2,1.5294117647058825,6.999999999999999,Iris-setosa
29,30,4.7,3.2,1.6,0.2,1.46875,8.0,Iris-setosa
30,31,4.8,3.1,1.6,0.2,1.5483870967741935,8.0,Iris-setosa
31,32,5.4,3.4,1.5,0.4,1.5882352941176472,3.75,Iris-setosa
32,33,5.2,4.1,1.5,0.1,1.2682926829268295,15.0,Iris-setosa
33,34,5.5,4.2,1.4,0.2,1.3095238095238095,6.999999999999999,Iris-setosa
34,35,4.9,3.1,1.5,0.1,1.5806451612903227,15.0,Iris-setosa
35,36,5.0,3.2,1.2,0.2,1.5625,5.999999999999999,Iris-setosa
36,37,5.5,3.5,1.3,0.2,1.5714285714285714,6.5,Iris-setosa
37,38,4.9,3.1,1.5,0.1,1.5806451612903227,15.0,Iris-setosa
38,39,4.4,3.0,1.3,0.2,1.4666666666666668,6.5,Iris-setosa
39,40,5.1,3.4,1.5,0.2,1.5,7.5,Iris-setosa
40,41,5.0,3.5,1.3,0.3,1.4285714285714286,4.333333333333334,Iris-setosa
41,42,4.5,2.3,1.3,0.3,1.956521739130435,4.333333333333334,Iris-setosa
42,43,4.4,3.2,1.3,0.2,1.375,6.5,Iris-setosa
43,44,5.0,3.5,1.6,0.6,1.4285714285714286,2.666666666666667,Iris-setosa
44,45,5.1,3.8,1.9,0.4,1.3421052631578947,4.749999999999999,Iris-setosa
45,46,4.8,3.0,1.4,0.3,1.6,4.666666666666667,Iris-setosa
46,47,5.1,3.8,1.6,0.2,1.3421052631578947,8.0,Iris-setosa
47,48,4.6,3.2,1.4,0.2,1.4374999999999998,6.999999999999999,Iris-setosa
48,49,5.3,3.7,1.5,0.2,1.4324324324324322,7.5,Iris-setosa
49,50,5.0,3.3,1.4,0.2,1.5151515151515151,6.999999999999999,Iris-setosa
50,51,7.0,3.2,4.7,1.4,2.1875,3.3571428571428577,Iris-versicolor
51,52,6.4,3.2,4.5,1.5,2.0,3.0,Iris-versicolor
52,53,6.9,3.1,4.9,1.5,2.2258064516129035,3.266666666666667,Iris-versicolor
53,54,5.5,2.3,4.0,1.3,2.391304347826088,3.0769230769230766,Iris-versicolor
54,55,6.5,2.8,4.6,1.5,2.321428571428572,3.0666666666666664,Iris-versicolor
55,56,5.7,2.8,4.5,1.3,2.035714285714286,3.461538461538461,Iris-versicolor
56,57,6.3,3.3,4.7,1.6,1.9090909090909087,2.9375,Iris-versicolor
57,58,4.9,2.4,3.3,1.0,2.041666666666667,3.3,Iris-versicolor
58,59,6.6,2.9,4.6,1.3,2.2758620689655173,3.538461538461538,Iris-versicolor
59,60,5.2,2.7,3.9,1.4,1.9259259259259256,2.785714285714286,Iris-versicolor
60,61,5.0,2.0,3.5,1.0,2.5,3.5,Iris-versicolor
61,62,5.9,3.0,4.2,1.5,1.9666666666666668,2.8000000000000003,Iris-versicolor
62,63,6.0,2.2,4.0,1.0,2.727272727272727,4.0,Iris-versicolor
63,64,6.1,2.9,4.7,1.4,2.103448275862069,3.3571428571428577,Iris-versicolor
64,65,5.6,2.9,3.6,1.3,1.9310344827586208,2.769230769230769,Iris-versicolor
65,66,6.7,3.1,4.4,1.4,2.161290322580645,3.1428571428571432,Iris-versicolor
66,67,5.6,3.0,4.5,1.5,1.8666666666666665,3.0,Iris-versicolor
67,68,5.8,2.7,4.1,1.0,2.148148148148148,4.1,Iris-versicolor
68,69,6.2,2.2,4.5,1.5,2.818181818181818,3.0,Iris-versicolor
69,70,5.6,2.5,3.9,1.1,2.24,3.545454545454545,Iris-versicolor
70,71,5.9,3.2,4.8,1.8,1.84375,2.6666666666666665,Iris-versicolor
71,72,6.1,2.8,4.0,1.3,2.1785714285714284,3.0769230769230766,Iris-versicolor
72,73,6.3,2.5,4.9,1.5,2.52,3.266666666666667,Iris-versicolor
73,74,6.1,2.8,4.7,1.2,2.1785714285714284,3.916666666666667,Iris-versicolor
74,75,6.4,2.9,4.3,1.3,2.206896551724138,3.3076923076923075,Iris-versicolor
75,76,6.6,3.0,4.4,1.4,2.2,3.1428571428571432,Iris-versicolor
76,77,6.8,2.8,4.8,1.4,2.428571428571429,3.428571428571429,Iris-versicolor
77,78,6.7,3.0,5.0,1.7,2.2333333333333334,2.9411764705882355,Iris-versicolor
78,79,6.0,2.9,4.5,1.5,2.0689655172413794,3.0,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,2.1923076923076925,3.5,Iris-versicolor
80,81,5.5,2.4,3.8,1.1,2.291666666666667,3.454545454545454,Iris-versicolor
81,82,5.5,2.4,3.7,1.0,2.291666666666667,3.7,Iris-versicolor
82,83,5.8,2.7,3.9,1.2,2.148148148148148,3.25,Iris-versicolor
83,84,6.0,2.7,5.1,1.6,2.222222222222222,3.1875,Iris-versicolor
84,85,5.4,3.0,4.5,1.5,1.8,3.0,Iris-versicolor
85,86,6.0,3.4,4.5,1.6,1.7647058823529411,2.8125,Iris-versicolor
86,87,6.7,3.1,4.7,1.5,2.161290322580645,3.1333333333333333,Iris-versicolor
87,88,6.3,2.3,4.4,1.3,2.739130434782609,3.3846153846153846,Iris-versicolor
88,89,5.6,3.0,4.1,1.3,1.8666666666666665,3.1538461538461533,Iris-versicolor
89,90,5.5,2.5,4.0,1.3,2.2,3.0769230769230766,Iris-versicolor
90,91,5.5,2.6,4.4,1.2,2.1153846153846154,3.666666666666667,Iris-versicolor
91,92,6.1,3.0,4.6,1.4,2.033333333333333,3.2857142857142856,Iris-versicolor
92,93,5.8,2.6,4.0,1.2,2.230769230769231,3.333333333333333,Iris-versicolor
93,94,5.0,2.3,3.3,1.0,2.173913043478261,3.3,Iris-versicolor
94,95,5.6,2.7,4.2,1.3,2.074074074074074,3.230769230769231,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,1.9,3.5000000000000004,Iris-versicolor
96,97,5.7,2.9,4.2,1.3,1.9655172413793105,3.230769230769231,Iris-versicolor
97,98,6.2,2.9,4.3,1.3,2.137931034482759,3.3076923076923075,Iris-versicolor
98,99,5.1,2.5,3.0,1.1,2.04,2.727272727272727,Iris-versicolor
99,100,5.7,2.8,4.1,1.3,2.035714285714286,3.1538461538461533,Iris-versicolor
100,101,6.3,3.3,6.0,2.5,1.9090909090909087,2.4,Iris-virginica
101,102,5.8,2.7,5.1,1.9,2.148148148148148,2.6842105263157894,Iris-virginica
102,103,7.1,3.0,5.9,2.1,2.3666666666666667,2.8095238095238098,Iris-virginica
103,104,6.3,2.9,5.6,1.8,2.1724137931034484,3.1111111111111107,Iris-virginica
104,105,6.5,3.0,5.8,2.2,2.1666666666666665,2.636363636363636,Iris-virginica
105,106,7.6,3.0,6.6,2.1,2.533333333333333,3.1428571428571423,Iris-virginica
