FID,X,Y,DAY,DATE,TIME,REPORT_NO,PRECINCT,ADDRESS,CITY,STATE,Scout_Car_Areas,Zip_Codes,Detroit_Neighborhoods,Hardest_Hit_Fund_Areas,Counties,City_Council_Districts,ObjectId
NaN,-83.047853,42.332916,?,1.4756256E12,3:00:00 AM,1610050044,1.0,15TH/POPLAR,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,1.0
NaN,-83.047853,42.332916,?,1.4822784E12,10:45:00 PM,1220160339,8.0,192XX SCHOOLCRAFT,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,2.0
NaN,-83.047853,42.332916,?,1.4724288E12,7:00:00 PM,1608280288,8.0,GREENVIEW/FARGO,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,3.0
NaN,-83.047853,42.332916,?,1.4777856E12,10:30:00 PM,1610290659,6.0,LIVERNOIS/PURITAN,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,4.0
NaN,-83.047853,42.332916,?,1.481328E12,4:30:00 AM,1612100074,11.0,204XX MARX,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,5.0
NaN,-83.047853,42.332916,?,1.4707008E12,10:00:00 PM,1608090129,8.0,194XX PLYMOUTH,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,6.0
NaN,-83.047853,42.332916,?,1.4656032E12,7:45:00 PM,1606100340,11.0,81XX EMILY,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,7.0
NaN,-83.047853,42.332916,?,1.4529888E12,2:00:00 AM,1601170052,12.0,ASBURY PK/W 7 MILE RD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,8.0
NaN,-83.047853,42.332916,?,1.469232E12,11:00:00 PM,1607220186,10.0,WARREN/SOUTHFIELD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,9.0
NaN,-83.047853,42.332916,?,1.4651712E12,11:30:00 PM,1606060008,5.0,XX MILE/MOROSS,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,10.0
NaN,-83.047853,42.332916,?,1.4585184E12,1:20:00 PM,1603210178,3.0,15XX W. GRAND BLVD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,11.0
NaN,-83.047853,42.332916,?,1.4687136E12,5:39:00 AM,1607170065,7.0,88XX E JEFFERSON,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,12.0
NaN,-83.047853,42.332916,?,1.480896E12,10:30:00 PM,1612050008,5.0,105XX JEFFERSON,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,13.0
NaN,-83.047853,42.332916,?,1.471824E12,2:45:00 PM,1608210204,2.0,LYON/DEARBORN,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,14.0
NaN,-83.047853,42.332916,?,1.4727744E12,12:10:00 PM,1609020156,2.0,151XX GREENFIELD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,15.0
NaN,-83.047853,42.332916,?,1.470528E12,3:40:00 AM,1608070054,8.0,SCHOOLCRAFT/ SCHAEFER,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,16.0
NaN,-83.047853,42.332916,?,1.4662944E12,1:25:00 AM,1606190040,10.0,KENTUCKY/LYNDON,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,17.0
NaN,-83.047853,42.332916,?,1.4604192E12,5:30:00 AM,1604120055,10.0,INTERVALE/CLOVERDALE,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,18.0
NaN,-83.047853,42.332916,?,1.4738976E12,2:20:00 PM,1609150226,12.0,134XX W 8 MILE RD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,19.0
NaN,-83.047853,42.332916,?,1.469232E12,1:10:00 AM,1607230022,2.0,145XX MCNICHOLS,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,20.0
NaN,-83.047853,42.332916,?,1.48176E12,1:00:00 PM,1612140163,12.0,165XX LITTLEFIELD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,21.0
NaN,-83.047853,42.332916,?,1.4529888E12,4:00:00 AM,1601160236,5.0,46XX BENTITEAU,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,22.0
NaN,-83.047853,42.332916,?,1.461456E12,4:30:00 AM,1604240060,7.0,GRATIOT/BURNS,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,23.0
NaN,-83.047853,42.332916,?,1.4828832E12,9:30:00 AM,1612280117,10.0,33XX JOY RD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,24.0
NaN,-83.047853,42.332916,?,1.4531616E12,6:18:00 PM,1601190283,6.0,182XX JOY RD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,25.0
NaN,-83.047853,42.332916,?,1.461024E12,3:17:00 AM,1604190103,9.0,120XX HARPER AVE,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,26.0
NaN,-83.047853,42.332916,?,1.4660352E12,4:00:00 PM,1606150292,11.0,FENELON/CHARLES,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,27.0
NaN,-83.047853,42.332916,?,1.4784768E12,12:00:00 PM,1611060148,11.0,191XX HASSE,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,28.0
NaN,-83.047853,42.332916,?,1.480032E12,7:10:00 AM,1611240078,4.0,MELLON/SCHAEFER,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,29.0
NaN,-83.047853,42.332916,?,1.4801184E12,11:50:00 PM,1611260021,12.0,177XX MANDERSON,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,30.0
NaN,-83.047853,42.332916,?,1.4577408E12,2:50:00 PM,1603120215,9.0,CONNER/HARPER,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,31.0
NaN,-83.047853,42.332916,?,1.4602464E12,1:30:00 AM,1604100036,8.0,102XX W 8 MILE RD,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,32.0
NaN,-83.047853,42.332916,?,1.4707872E12,1:30:00 AM,1608100041,5.0,173XX MACK,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,33.0
NaN,-83.047853,42.332916,?,1.451952E12,5:45:00 AM,1601050044,2.0,17XX S FORT,DETROIT, MI,4.0,20014.0,142.0,NaN,1345.0,5.0,34.0
