Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
AK,"Aug 6 - Aug 11, 2020",1,Statewide,Statewide,738516,5,777.0,,,,81,0.7,0.0,2.23,1.0,83,0.0,0.0,4.35,2.0,73,777.0,,,,88,0.0,0.0,4.11,2.0,154,0.7,0.0,2.35,1.0,242,0.3,0.0,1.12,1.0,2216.0,0.0,8271.0,False,True
AL,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,4864680,192,10.2,5.61,14.83,0.0,242,4.7,1.86,7.8,0.0,245,5.9,2.71,10.0,0.0,255,2.3,0.6,4.63,0.0,373,4.9,2.5,7.97,0.0,565,6.6,4.39,9.15,0.0,938,5.8,4.16,7.71,0.0,282151.0,202371.0,375067.0,True,False
AR,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,2990671,199,5.0,2.0,8.6,0.0,241,4.7,2.17,7.88,0.0,242,4.2,1.38,7.5,0.0,242,1.5,0.0,3.29,0.0,380,3.8,1.86,6.1,0.0,557,4.3,2.4,6.68,0.0,937,4.1,2.74,5.63,0.0,122618.0,81944.0,168375.0,True,False
AZ,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,6946685,24,777.0,,,,244,10.8,3.61,20.32,0.0,222,7.1,0.74,14.83,1.0,101,5.5,0.18,12.19,1.0,93,9.0,2.2,17.7,0.0,498,7.5,3.26,13.56,0.0,591,8.2,4.11,13.59,0.0,569628.0,285509.0,944054.0,True,True
CA,"Jul 30 -  Aug 5, 2020",1,Statewide,Statewide,39148760,245,6.2,3.12,10.09,0.0,245,7.0,3.9,10.3,0.0,245,5.2,2.46,8.82,0.0,245,1.1,0.0,2.61,1.0,420,5.1,2.74,7.83,0.0,560,6.3,3.97,9.19,0.0,980,5.7,4.05,7.77,0.0,2231479.0,1585525.0,3041859.0,True,True
CO,"Jul 30 -  Aug 7, 2020",1,Statewide,Statewide,5531141,240,4.3,0.63,10.52,1.0,246,1.1,0.0,2.75,1.0,258,4.3,0.34,11.31,1.0,257,0.8,0.0,2.07,1.0,454,2.7,0.75,5.72,0.0,547,2.1,0.49,4.94,0.0,1001,2.4,0.89,4.53,0.0,132747.0,49227.0,250561.0,True,True
CT,"Jul 30 -  Aug 3, 2020",1,Statewide,Statewide,3581504,248,3.9,1.48,6.46,0.0,249,3.1,1.0,5.62,0.0,248,3.7,1.3,6.3,0.0,249,2.7,0.5,5.17,0.0,417,4.2,2.13,6.42,0.0,577,2.5,1.18,4.1,0.0,994,3.4,2.04,4.72,0.0,121771.0,73063.0,169047.0,True,False
DC,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,684498,49,777.0,,,,262,1.4,0.0,3.09,1.0,185,5.5,2.28,9.15,0.0,219,6.4,3.28,9.94,0.0,321,3.3,1.27,5.93,0.0,396,4.4,2.06,7.53,0.0,717,3.9,2.18,5.76,0.0,26695.0,14922.0,39427.0,True,True
DE,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,949495,52,777.0,,,,237,8.3,4.31,12.72,0.0,261,5.0,2.24,8.34,0.0,254,0.9,0.0,2.29,1.0,339,4.3,2.13,7.12,0.0,465,7.0,4.02,10.92,0.0,804,5.7,3.55,8.22,0.0,54121.0,33707.0,78048.0,True,True
FL,"Jul 31 -  Aug 3, 2020",1,Statewide,Statewide,20598139,245,3.8,1.57,6.35,0.0,245,5.4,2.28,8.78,0.0,244,3.7,1.22,6.46,0.0,246,3.3,0.96,6.22,0.0,427,5.2,2.67,7.95,0.0,553,3.5,1.78,5.34,0.0,980,4.3,2.77,5.86,0.0,885720.0,570568.0,1207051.0,True,False
GA,"Aug 2 - Aug 11, 2020",1,Statewide,Statewide,10297484,242,8.6,4.78,12.54,0.0,245,7.8,4.18,11.09,0.0,245,4.9,2.02,7.86,0.0,252,2.8,0.8,5.52,0.0,459,8.1,5.08,11.86,0.0,526,5.6,3.35,8.43,0.0,985,6.8,4.83,8.81,0.0,700229.0,497368.0,907208.0,True,False
HI,"Aug 3 - Aug 11, 2020",1,Statewide,Statewide,1422029,1,777.0,,,,1,777.0,,,,2,777.0,,,,1,777.0,,,,1,777.0,,,,4,777.0,,,,5,777.0,,,,,,,False,
IA,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,3132499,69,777.0,,,,251,11.4,7.12,16.11,0.0,254,6.5,2.92,9.93,0.0,237,2.5,0.44,5.12,0.0,353,4.6,1.85,7.4,0.0,458,12.5,8.54,17.01,0.0,811,8.6,5.98,11.34,0.0,269395.0,187323.0,355225.0,True,False
ID,"Aug 4 - Aug 11, 2020",1,Statewide,Statewide,1687809,10,777.0,,,,78,10.3,3.75,19.04,0.0,65,777.0,,,,93,1.3,0.0,4.51,1.0,90,7.0,2.04,14.12,0.0,156,2.1,0.16,5.31,1.0,246,4.5,1.8,7.99,0.0,75951.0,30381.0,134856.0,False,True
IL,"Jul 29 - Aug 10, 2020",1,Statewide,Statewide,12821497,244,5.1,1.96,8.55,0.0,246,3.8,1.6,6.24,0.0,252,3.5,1.43,5.78,0.0,260,3.1,1.18,5.51,0.0,432,3.5,1.62,5.64,0.0,572,4.3,2.59,6.32,0.0,1004,3.9,2.52,5.21,0.0,500038.0,323102.0,668000.0,True,False
IN,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,6637426,23,777.0,,,,228,3.3,0.97,6.16,0.0,186,4.4,1.08,9.53,0.0,142,0.0,0.0,2.56,2.0,152,1.4,0.0,3.3,1.0,427,3.0,1.16,5.46,0.0,579,2.2,1.1,3.63,0.0,146023.0,73012.0,240939.0,False,True
KS,"Jul 29 -  Aug 8, 2020",1,Statewide,Statewide,2908776,234,1.6,0.0,3.74,0.0,240,1.9,0.33,4.26,0.0,244,1.5,0.0,3.36,0.0,244,0.9,0.0,2.51,1.0,420,1.4,0.28,2.84,0.0,542,1.8,0.44,3.46,0.0,962,1.6,0.7,2.8,0.0,46540.0,20361.0,81446.0,True,True
KY,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,4440204,240,4.1,1.66,7.21,0.0,246,2.1,0.34,4.34,0.0,243,2.2,0.42,4.31,0.0,245,1.3,0.0,3.17,1.0,448,2.2,0.65,4.06,0.0,527,2.7,1.16,4.39,0.0,975,2.4,1.32,3.62,0.0,106565.0,58611.0,160735.0,True,True
LA,"Jul 28 - Aug 13, 2020",1,Statewide,Statewide,4663616,245,11.7,6.99,17.33,0.0,252,10.6,6.64,15.17,0.0,249,9.9,4.06,18.63,0.0,256,2.7,0.73,5.06,0.0,401,8.9,5.1,13.35,0.0,601,10.2,6.91,13.74,0.0,1002,9.6,6.88,12.29,0.0,447707.0,320857.0,573158.0,True,False
MA,"Jul 30 - Aug 10, 2020",1,Statewide,Statewide,6830193,242,6.2,3.13,9.64,0.0,243,3.4,1.19,6.05,0.0,245,4.6,1.81,7.29,0.0,248,3.5,1.29,6.01,0.0,413,4.8,2.83,7.36,0.0,565,3.7,1.94,5.43,0.0,978,4.2,2.89,5.81,0.0,286868.0,197393.0,396834.0,True,False
MD,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,6003435,67,777.0,,,,241,11.6,7.13,15.96,0.0,237,5.7,3.04,8.61,0.0,238,2.8,0.93,5.07,0.0,284,11.5,6.57,16.74,0.0,499,8.1,5.18,11.83,0.0,783,9.7,7.26,12.87,0.0,582333.0,435849.0,772642.0,True,False
ME,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,1332813,26,777.0,,,,229,0.4,0.0,1.46,1.0,152,1.2,0.0,3.28,1.0,191,0.4,0.0,1.56,1.0,233,1.0,0.0,2.37,0.0,365,0.0,0.0,1.01,2.0,598,0.5,0.0,1.16,0.0,6664.0,0.0,15461.0,False,True
MI,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,9957488,245,6.7,3.64,10.4,0.0,245,3.6,1.39,6.48,0.0,243,1.8,0.0,3.83,0.0,249,0.3,0.0,1.28,1.0,454,3.9,2.0,6.07,0.0,528,2.8,1.31,4.67,0.0,982,3.4,2.16,4.84,0.0,338555.0,215082.0,481942.0,True,True
MN,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,5527358,142,3.7,1.03,7.02,0.0,240,4.5,2.16,7.08,0.0,243,1.6,0.32,3.1,0.0,247,3.2,0.0,9.08,1.0,361,3.2,1.08,5.61,0.0,518,3.8,1.95,5.68,0.0,879,3.5,2.06,5.01,0.0,193458.0,113864.0,276921.0,True,True
MO,"Jul 28 - Aug 10, 2020",1,Statewide,Statewide,6090062,242,3.2,1.12,5.45,0.0,244,2.9,0.96,5.15,0.0,244,2.1,0.33,4.46,0.0,243,1.1,0.0,3.25,1.0,429,1.7,0.55,3.19,0.0,550,3.3,1.45,5.19,0.0,979,2.5,1.44,3.61,0.0,152252.0,87697.0,219851.0,True,True
MS,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,2988762,37,777.0,,,,243,6.2,2.83,10.12,0.0,246,5.0,2.09,8.73,0.0,243,2.6,0.54,5.49,1.0,328,4.0,1.23,7.81,0.0,441,10.0,4.05,17.18,0.0,769,7.1,3.75,11.09,0.0,212202.0,112079.0,331454.0,True,True
MT,"Jul 29 - Aug 10, 2020",1,Statewide,Statewide,1041732,11,777.0,,,,63,777.0,,,,67,777.0,,,,53,777.0,,,,86,0.0,0.0,4.2,2.0,113,0.9,0.0,3.37,1.0,199,0.5,0.0,1.67,1.0,5209.0,0.0,17397.0,False,True
NC,"Jul 29 - Aug 10, 2020",1,Statewide,Statewide,10155624,197,6.4,2.84,10.49,0.0,248,1.6,0.35,3.5,1.0,243,0.9,0.0,2.33,1.0,240,1.0,0.0,2.52,1.0,394,1.6,0.31,3.1,0.0,534,3.3,1.66,5.2,0.0,928,2.5,1.31,3.72,0.0,253891.0,133039.0,377789.0,True,True
ND,"Jul 29 - Aug 12, 2020",1,Statewide,Statewide,752201,5,777.0,,,,57,777.0,,,,30,777.0,,,,26,777.0,,,,47,777.0,,,,74,777.0,,,,121,7.3,1.3,14.28,0.0,54911.0,9779.0,107414.0,False,False
NE,"Jul 28 - Aug 13, 2020",1,Statewide,Statewide,1904760,152,10.2,4.83,16.49,0.0,254,8.1,4.41,12.18,0.0,243,7.6,3.4,12.51,0.0,298,0.8,0.0,2.91,1.0,391,8.2,4.62,12.06,0.0,563,6.6,4.12,9.34,0.0,954,7.4,5.25,9.75,0.0,140952.0,100000.0,185714.0,True,True
NH,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,1343622,69,777.0,,,,248,1.0,0.0,2.42,1.0,247,0.3,0.0,1.31,1.0,245,1.7,0.25,3.72,0.0,326,1.0,0.14,2.08,0.0,483,0.6,0.0,1.39,1.0,809,0.8,0.22,1.48,0.0,10749.0,2956.0,19886.0,False,True
NJ,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,8881845,210,22.3,16.6,28.9,0.0,220,14.2,9.29,19.31,0.0,224,12.0,7.58,16.93,0.0,217,9.5,5.05,13.96,0.0,328,15.3,11.04,20.1,0.0,543,14.3,10.82,17.84,0.0,871,14.8,12.23,17.57,0.0,1314513.0,1086250.0,1560540.0,True,False
NM,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,2092434,156,3.1,0.7,6.3,1.0,290,1.8,0.63,3.69,0.0,262,2.6,0.68,4.86,0.0,255,0.3,0.0,0.99,1.0,359,0.6,0.0,1.84,1.0,605,3.3,1.84,5.11,0.0,964,2.0,1.09,3.02,0.0,41849.0,22808.0,63192.0,True,True
NV,"Jul 30 -  Aug 2, 2020",1,Statewide,Statewide,2922849,243,8.9,5.36,12.85,0.0,245,4.2,1.69,7.3,0.0,243,4.0,1.78,6.61,0.0,246,3.1,1.14,5.64,0.0,441,5.3,2.87,8.07,0.0,538,4.9,3.19,6.86,0.0,979,5.1,3.63,6.66,0.0,149065.0,106099.0,194662.0,True,False
NY,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,19618453,214,26.7,20.64,33.36,0.0,197,29.7,22.63,36.55,0.0,218,17.8,12.68,23.16,0.0,217,7.9,4.18,11.64,0.0,366,21.6,16.81,27.1,0.0,480,24.9,20.81,29.17,0.0,846,23.3,20.07,26.32,0.0,4571100.0,3937424.0,5163577.0,True,False
OH,"Jul 29 - Aug 11, 2020",1,Statewide,Statewide,11641879,85,3.3,0.0,8.03,1.0,283,1.3,0.15,2.71,0.0,158,3.6,0.78,6.97,0.0,260,1.5,0.28,3.07,0.0,343,2.5,0.7,4.69,0.0,443,2.1,0.65,3.76,0.0,786,2.3,1.11,3.61,0.0,267763.0,129225.0,420272.0,True,True
OK,"Jul 28 -  Aug 4, 2020",1,Statewide,Statewide,3918137,243,3.6,1.28,6.2,0.0,247,0.4,0.0,1.32,1.0,246,1.8,0.0,4.14,1.0,243,1.5,0.0,3.5,1.0,370,1.4,0.29,2.74,0.0,609,1.8,0.78,3.03,0.0,979,1.6,0.85,2.49,0.0,62690.0,33304.0,97562.0,True,True
OR,"Aug 5 - Aug 11, 2020",1,Statewide,Statewide,4081943,86,5.6,0.87,12.05,1.0,301,2.2,0.54,4.03,0.0,0,666.0,,,,271,0.6,0.0,1.67,1.0,257,2.3,0.36,5.19,1.0,401,2.3,0.73,4.0,0.0,658,2.3,1.03,3.84,0.0,93885.0,42044.0,156747.0,True,True
PA,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,12791181,9,777.0,,,,230,12.8,8.91,17.84,0.0,169,8.5,3.76,14.0,0.0,167,1.2,0.0,3.34,1.0,310,9.5,6.33,13.61,0.0,265,11.0,3.26,22.51,0.0,575,10.2,5.71,17.21,0.0,1304700.0,730376.0,2201362.0,True,True
PR,"Jul 27 -  Aug 7, 2020",1,Statewide,Statewide,3386941,246,0.0,0.0,1.49,2.0,245,0.4,0.0,1.35,1.0,248,2.5,0.53,5.15,1.0,245,2.2,0.52,4.99,1.0,364,1.4,0.39,2.56,0.0,620,0.8,0.12,1.69,1.0,984,1.1,0.43,1.8,0.0,37256.0,14564.0,60965.0,False,True
RI,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,1056611,20,777.0,,,,240,2.3,0.45,4.65,0.0,208,4.1,1.14,7.37,0.0,216,1.7,0.0,3.69,0.0,309,2.7,0.99,4.64,0.0,375,3.4,0.65,7.7,0.0,684,3.0,1.23,5.51,0.0,31698.0,12996.0,58219.0,True,False
SC,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,4955925,86,11.6,4.48,20.14,0.0,244,9.2,5.45,13.32,0.0,244,6.9,3.74,10.92,0.0,266,2.1,0.52,4.25,1.0,364,9.4,5.62,13.51,0.0,476,6.9,4.08,9.88,0.0,840,8.1,5.79,10.69,0.0,401430.0,286948.0,529788.0,True,True
SD,"Jul 29 - Aug 12, 2020",1,Statewide,Statewide,864289,0,666.0,,,,21,777.0,,,,11,777.0,,,,15,777.0,,,,31,777.0,,,,16,777.0,,,,47,777.0,,,,,,,False,
TN,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,6651089,273,8.3,4.93,12.27,0.0,242,8.4,4.69,12.4,0.0,242,2.5,0.69,5.21,0.0,246,2.6,0.66,5.01,0.0,378,6.4,3.43,9.84,0.0,625,6.2,4.22,8.66,0.0,1003,6.3,4.41,8.25,0.0,419019.0,293313.0,548715.0,True,False
TX,"Jul 29 -  Aug 5, 2020",1,Statewide,Statewide,27885195,246,8.4,4.78,13.05,0.0,246,5.6,2.94,9.06,0.0,246,5.5,2.32,9.42,0.0,247,1.9,0.34,4.02,1.0,438,6.2,3.61,8.88,0.0,548,5.5,2.95,8.31,0.0,986,5.9,4.04,7.95,0.0,1645227.0,1126562.0,2216873.0,True,True
UT,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,3045350,36,777.0,,,,355,4.3,1.96,6.73,0.0,249,3.1,1.13,5.53,0.0,240,1.3,0.0,3.26,1.0,339,2.2,0.62,3.92,0.0,541,4.2,1.77,7.5,0.0,880,3.2,1.7,5.03,0.0,97451.0,51771.0,153181.0,True,True
VA,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,8413774,23,777.0,,,,240,3.9,1.46,6.77,0.0,227,2.4,0.26,5.12,0.0,240,2.2,0.39,4.72,0.0,282,2.7,0.57,5.24,0.0,448,5.5,1.54,10.71,0.0,730,4.1,1.8,6.93,0.0,344965.0,151448.0,583075.0,True,False
VT,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,624977,4,777.0,,,,153,1.1,0.0,4.42,1.0,96,0.0,0.0,3.77,2.0,93,0.0,0.0,3.89,2.0,127,1.0,0.0,3.74,1.0,219,0.0,0.0,1.67,2.0,346,0.5,0.0,1.84,1.0,3125.0,0.0,11500.0,False,True
WA,"Jul 29 - Aug 11, 2020",1,Statewide,Statewide,7294336,189,0.5,0.0,1.84,1.0,191,3.9,1.27,7.07,0.0,304,1.0,0.0,2.34,1.0,0,666.0,,,,292,2.0,0.25,4.27,1.0,392,2.3,0.72,4.2,0.0,684,2.1,0.81,3.7,0.0,153181.0,59084.0,269890.0,True,True
WI,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,5778394,79,2.4,0.0,6.28,1.0,243,2.2,0.45,4.31,0.0,240,1.4,0.0,3.65,1.0,244,0.8,0.0,2.18,1.0,361,2.0,0.26,3.96,0.0,453,1.7,0.41,3.4,0.0,814,1.8,0.76,3.18,0.0,104011.0,43916.0,183753.0,True,True
WV,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,1829054,9,777.0,,,,140,1.7,0.0,4.74,1.0,95,0.4,0.0,1.85,1.0,73,777.0,,,,115,1.5,0.0,3.48,1.0,202,0.9,0.0,2.55,1.0,317,1.2,0.23,2.5,0.0,21949.0,4207.0,45726.0,False,True
WY,"Jul 29 - Aug 11, 2020",1,Statewide,Statewide,581836,1,777.0,,,,30,777.0,,,,24,777.0,,,,15,777.0,,,,36,777.0,,,,34,777.0,,,,71,777.0,,,,,,,False,
US,"Jul 27 - Aug 13, 2020",1,"50 States, DC, & PR","50 States, DC, & PR",326289971,6700,7.9,6.97,8.82,0.0,11237,6.8,6.01,7.42,0.0,10367,5.0,4.36,5.69,0.0,10408,2.5,2.0,3.0,0.0,16024,5.9,5.27,6.41,0.0,22751,5.9,5.47,6.44,0.0,38776,5.9,5.53,6.26,0.0,19251108.0,18043835.0,20425752.0,True,False
AK,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,738516,20,777.0,,,,311,2.5,0.81,4.85,0.0,215,0.8,0.0,2.65,1.0,157,0.0,0.0,2.32,2.0,264,0.9,0.0,2.2,1.0,440,1.7,0.53,3.2,0.0,704,1.3,0.5,2.33,0.0,9601.0,3693.0,17207.0,False,True
AL,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,4864680,187,11.0,6.16,16.57,0.0,252,9.9,6.01,14.37,0.0,277,3.6,1.46,6.12,0.0,256,2.0,0.35,4.16,1.0,414,8.8,5.22,12.38,0.0,560,6.5,4.06,9.28,0.0,974,7.6,5.33,9.76,0.0,369716.0,259287.0,474793.0,True,True
AR,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,2990671,156,3.9,0.84,7.45,0.0,337,3.2,1.08,5.6,0.0,249,3.9,1.44,7.18,0.0,243,0.5,0.0,1.5,1.0,371,3.3,1.26,5.7,0.0,626,2.8,1.33,4.36,0.0,998,3.0,1.76,4.35,0.0,89720.0,52636.0,130094.0,True,True
AZ,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6946685,27,777.0,,,,943,7.4,3.94,12.04,0.0,226,5.6,0.66,12.71,1.0,108,0.0,0.0,3.36,2.0,102,5.5,1.82,10.69,0.0,1202,3.9,1.82,7.01,0.0,1304,4.7,2.7,7.61,0.0,326494.0,187560.0,528643.0,False,True
CA,"Aug 13 - Aug 19, 2020",2,Statewide,Statewide,39148760,245,5.6,2.55,8.94,0.0,245,4.8,2.22,7.97,0.0,245,2.3,0.67,4.59,0.0,245,3.5,1.21,6.77,0.0,430,4.8,2.62,7.31,0.0,550,3.9,1.83,6.05,0.0,980,4.3,2.85,6.06,0.0,1683397.0,1115740.0,2372415.0,True,False
CO,"Aug 10 - Aug 25, 2020",2,Statewide,Statewide,5531141,255,3.3,1.18,5.69,0.0,258,4.8,2.05,7.81,0.0,253,1.7,0.34,3.33,0.0,253,0.5,0.0,1.65,1.0,436,3.4,1.34,5.69,0.0,583,3.2,1.61,5.11,0.0,1019,3.3,1.83,4.8,0.0,182528.0,101220.0,265495.0,True,True
CT,"Aug 11 - Aug 24, 2020",2,Statewide,Statewide,3581504,244,5.1,1.95,8.16,0.0,246,1.0,0.0,2.7,1.0,245,2.8,0.71,5.11,0.0,248,2.0,0.32,3.97,0.0,403,2.2,0.85,3.87,0.0,580,2.6,1.38,4.26,0.0,983,2.4,1.45,3.52,0.0,85956.0,51932.0,126069.0,True,True
DC,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,684498,47,777.0,,,,255,8.3,4.77,12.02,0.0,227,5.5,2.52,8.91,0.0,249,2.9,1.05,5.23,0.0,323,5.5,2.48,9.17,0.0,458,8.0,4.85,11.64,0.0,781,6.8,4.59,9.21,0.0,46546.0,31418.0,63042.0,True,False
DE,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,949495,66,777.0,,,,241,9.3,5.26,13.82,0.0,288,6.3,3.29,9.23,0.0,409,2.1,0.68,3.72,0.0,418,9.7,5.32,14.62,0.0,586,7.3,4.14,10.62,0.0,1004,8.5,5.79,11.25,0.0,80707.0,54976.0,106818.0,True,False
FL,"Aug 14 - Aug 14, 2020",2,Statewide,Statewide,20598139,245,6.4,3.13,9.94,0.0,244,5.4,2.47,8.88,0.0,245,2.7,0.75,5.38,0.0,244,2.3,0.44,4.78,1.0,448,4.6,2.41,7.31,0.0,530,4.3,2.42,6.34,0.0,978,4.5,3.15,6.06,0.0,926916.0,648841.0,1248247.0,True,True
GA,"Aug 13 - Aug 26, 2020",2,Statewide,Statewide,10297484,277,9.6,5.64,13.96,0.0,253,6.4,3.38,9.84,0.0,251,7.2,3.45,11.88,0.0,250,6.8,2.8,12.09,0.0,465,8.3,5.35,11.68,0.0,566,6.5,4.23,9.32,0.0,1031,7.4,5.52,9.51,0.0,762014.0,568421.0,979291.0,True,False
HI,"Aug 14 - Aug 26, 2020",2,Statewide,Statewide,1422029,1,777.0,,,,2,777.0,,,,0,666.0,,,,6,777.0,,,,3,777.0,,,,6,777.0,,,,9,777.0,,,,,,,False,
IA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,3132499,72,777.0,,,,313,11.9,7.93,15.81,0.0,341,9.1,6.01,12.49,0.0,253,4.5,1.92,7.39,0.0,476,7.8,5.02,11.66,0.0,504,10.9,7.54,14.88,0.0,980,9.4,7.12,11.63,0.0,294455.0,223034.0,364310.0,True,False
ID,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,1687809,22,777.0,,,,207,2.6,0.54,4.99,0.0,170,5.1,1.44,9.73,0.0,252,3.1,1.05,5.78,0.0,226,4.8,0.69,12.76,1.0,425,4.3,1.42,8.73,0.0,651,4.6,1.67,9.05,0.0,77639.0,28186.0,152747.0,True,True
IL,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,12821497,246,3.5,1.17,6.4,0.0,246,7.4,4.23,10.9,0.0,244,3.4,1.3,6.12,0.0,249,2.0,0.58,3.71,0.0,469,5.1,3.01,7.38,0.0,516,4.8,2.44,7.08,0.0,985,4.9,3.4,6.65,0.0,628253.0,435931.0,852630.0,True,False
IN,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6637426,12,777.0,,,,501,5.0,2.63,7.71,0.0,197,0.9,0.0,3.07,1.0,196,5.4,0.0,14.17,1.0,180,2.9,0.45,6.11,0.0,726,3.2,1.69,5.18,0.0,906,3.1,1.53,4.76,0.0,205760.0,101553.0,315941.0,False,True
KS,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,2908776,252,2.1,0.28,4.3,0.0,252,6.0,2.51,9.99,0.0,254,3.4,0.74,6.92,0.0,255,0.4,0.0,1.41,1.0,408,4.4,1.71,7.11,0.0,608,3.0,1.08,5.04,0.0,1016,3.7,2.02,5.47,0.0,107625.0,58757.0,159110.0,True,True
KY,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,4440204,245,4.2,1.7,6.94,0.0,244,3.5,1.47,6.03,0.0,368,2.8,1.07,4.85,0.0,269,1.0,0.0,2.58,1.0,510,4.1,2.26,6.08,0.0,616,2.1,0.89,3.81,0.0,1126,3.1,2.05,4.49,0.0,137646.0,91024.0,199365.0,True,True
LA,"Aug 12 - Aug 25, 2020",2,Statewide,Statewide,4663616,235,12.2,7.68,17.67,0.0,249,11.0,6.84,16.36,0.0,252,16.7,10.74,23.6,0.0,253,6.8,3.46,11.33,0.0,402,10.4,7.0,14.49,0.0,587,13.2,9.31,17.57,0.0,989,11.8,9.27,14.81,0.0,550307.0,432317.0,690682.0,True,False
MA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,6830193,243,4.2,1.69,7.37,0.0,246,4.6,2.14,7.84,0.0,246,2.4,0.48,4.7,0.0,245,2.1,0.34,4.47,0.0,422,4.4,2.22,6.78,0.0,558,3.0,1.49,4.97,0.0,980,3.7,2.27,5.21,0.0,252717.0,155045.0,355853.0,True,False
MD,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,6003435,63,777.0,,,,380,7.9,5.3,11.0,0.0,349,4.6,2.33,7.26,0.0,382,3.8,1.88,6.1,0.0,476,7.9,4.22,11.37,0.0,698,6.2,3.78,8.98,0.0,1174,7.0,4.92,9.33,0.0,420240.0,295369.0,560120.0,True,False
ME,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,1332813,15,777.0,,,,230,1.4,0.0,3.63,1.0,174,0.0,0.0,2.1,2.0,190,0.2,0.0,1.02,1.0,239,0.0,0.0,1.53,2.0,370,1.2,0.0,2.82,1.0,609,0.6,0.0,1.44,1.0,7997.0,0.0,19193.0,False,True
MI,"Aug 12 - Aug 25, 2020",2,Statewide,Statewide,9957488,247,6.0,3.09,9.18,0.0,245,3.9,1.39,6.81,0.0,245,3.9,1.47,7.17,0.0,246,2.7,0.79,4.86,0.0,427,4.8,2.62,7.37,0.0,556,3.5,1.8,5.52,0.0,983,4.2,2.88,5.76,0.0,418214.0,286776.0,573551.0,True,False
