State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2020.0,January,Monthly,Number of Live Births,305000.0
UNITED STATES,2020.0,February,Monthly,Number of Live Births,283000.0
UNITED STATES,2020.0,March,Monthly,Number of Live Births,302000.0
UNITED STATES,2020.0,April,Monthly,Number of Live Births,290000.0
UNITED STATES,2020.0,May,Monthly,Number of Live Births,301000.0
UNITED STATES,2020.0,June,Monthly,Number of Live Births,302000.0
UNITED STATES,2020.0,July,Monthly,Number of Live Births,321000.0
UNITED STATES,2020.0,August,Monthly,Number of Live Births,319000.0
UNITED STATES,2020.0,September,Monthly,Number of Live Births,311000.0
UNITED STATES,2020.0,October,Monthly,Number of Live Births,305000.0
UNITED STATES,2020.0,November,Monthly,Number of Live Births,282000.0
UNITED STATES,2020.0,December,Monthly,Number of Live Births,290000.0
UNITED STATES,2021.0,January,Monthly,Number of Live Births,276000.0
UNITED STATES,2021.0,February,Monthly,Number of Live Births,265000.0
UNITED STATES,2021.0,March,Monthly,Number of Live Births,301000.0
UNITED STATES,2020.0,January,Monthly,Number of Deaths,264000.0
UNITED STATES,2020.0,February,Monthly,Number of Deaths,244000.0
UNITED STATES,2020.0,March,Monthly,Number of Deaths,269000.0
UNITED STATES,2020.0,April,Monthly,Number of Deaths,322000.0
UNITED STATES,2020.0,May,Monthly,Number of Deaths,280000.0
UNITED STATES,2020.0,June,Monthly,Number of Deaths,250000.0
UNITED STATES,2020.0,July,Monthly,Number of Deaths,278000.0
UNITED STATES,2020.0,August,Monthly,Number of Deaths,277000.0
UNITED STATES,2020.0,September,Monthly,Number of Deaths,257000.0
UNITED STATES,2020.0,October,Monthly,Number of Deaths,273000.0
UNITED STATES,2020.0,November,Monthly,Number of Deaths,302000.0
UNITED STATES,2020.0,December,Monthly,Number of Deaths,366000.0
UNITED STATES,2021.0,January,Monthly,Number of Deaths,370000.0
UNITED STATES,2021.0,February,Monthly,Number of Deaths,279000.0
UNITED STATES,2021.0,March,Monthly,Number of Deaths,268000.0
UNITED STATES,2020.0,January,Monthly,Number of Infant Deaths,1800.0
UNITED STATES,2020.0,February,Monthly,Number of Infant Deaths,1700.0
UNITED STATES,2020.0,March,Monthly,Number of Infant Deaths,1700.0
UNITED STATES,2020.0,April,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,May,Monthly,Number of Infant Deaths,1700.0
UNITED STATES,2020.0,June,Monthly,Number of Infant Deaths,1700.0
UNITED STATES,2020.0,July,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,August,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,September,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,October,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,November,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,December,Monthly,Number of Infant Deaths,1500.0
UNITED STATES,2021.0,January,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2021.0,February,Monthly,Number of Infant Deaths,1400.0
UNITED STATES,2021.0,March,Monthly,Number of Infant Deaths,1600.0
UNITED STATES,2020.0,January,12 Month-ending,Number of Live Births,3742000.0
UNITED STATES,2020.0,February,12 Month-ending,Number of Live Births,3744000.0
UNITED STATES,2020.0,March,12 Month-ending,Number of Live Births,3742000.0
UNITED STATES,2020.0,April,12 Month-ending,Number of Live Births,3733000.0
UNITED STATES,2020.0,May,12 Month-ending,Number of Live Births,3718000.0
UNITED STATES,2020.0,June,12 Month-ending,Number of Live Births,3716000.0
UNITED STATES,2020.0,July,12 Month-ending,Number of Live Births,3704000.0
UNITED STATES,2020.0,August,12 Month-ending,Number of Live Births,3681000.0
UNITED STATES,2020.0,September,12 Month-ending,Number of Live Births,3666000.0
UNITED STATES,2020.0,October,12 Month-ending,Number of Live Births,3646000.0
UNITED STATES,2020.0,November,12 Month-ending,Number of Live Births,3630000.0
UNITED STATES,2020.0,December,12 Month-ending,Number of Live Births,3611000.0
UNITED STATES,2021.0,January,12 Month-ending,Number of Live Births,3583000.0
UNITED STATES,2021.0,February,12 Month-ending,Number of Live Births,3565000.0
UNITED STATES,2021.0,March,12 Month-ending,Number of Live Births,3565000.0
UNITED STATES,2020.0,January,12 Month-ending,Number of Deaths,2861000.0
UNITED STATES,2020.0,February,12 Month-ending,Number of Deaths,2872000.0
UNITED STATES,2020.0,March,12 Month-ending,Number of Deaths,2887000.0
UNITED STATES,2020.0,April,12 Month-ending,Number of Deaths,2974000.0
UNITED STATES,2020.0,May,12 Month-ending,Number of Deaths,3017000.0
UNITED STATES,2020.0,June,12 Month-ending,Number of Deaths,3041000.0
UNITED STATES,2020.0,July,12 Month-ending,Number of Deaths,3091000.0
UNITED STATES,2020.0,August,12 Month-ending,Number of Deaths,3140000.0
UNITED STATES,2020.0,September,12 Month-ending,Number of Deaths,3174000.0
UNITED STATES,2020.0,October,12 Month-ending,Number of Deaths,3209000.0
UNITED STATES,2020.0,November,12 Month-ending,Number of Deaths,3271000.0
UNITED STATES,2020.0,December,12 Month-ending,Number of Deaths,3381000.0
UNITED STATES,2021.0,January,12 Month-ending,Number of Deaths,3487000.0
UNITED STATES,2021.0,February,12 Month-ending,Number of Deaths,3522000.0
UNITED STATES,2021.0,March,12 Month-ending,Number of Deaths,3521000.0
UNITED STATES,2020.0,January,12 Month-ending,Number of Infant Deaths,21000.0
UNITED STATES,2020.0,February,12 Month-ending,Number of Infant Deaths,21100.0
UNITED STATES,2020.0,March,12 Month-ending,Number of Infant Deaths,20900.0
UNITED STATES,2020.0,April,12 Month-ending,Number of Infant Deaths,20800.0
UNITED STATES,2020.0,May,12 Month-ending,Number of Infant Deaths,20700.0
UNITED STATES,2020.0,June,12 Month-ending,Number of Infant Deaths,20500.0
UNITED STATES,2020.0,July,12 Month-ending,Number of Infant Deaths,20400.0
UNITED STATES,2020.0,August,12 Month-ending,Number of Infant Deaths,20200.0
UNITED STATES,2020.0,September,12 Month-ending,Number of Infant Deaths,20100.0
UNITED STATES,2020.0,October,12 Month-ending,Number of Infant Deaths,20000.0
UNITED STATES,2020.0,November,12 Month-ending,Number of Infant Deaths,19900.0
UNITED STATES,2020.0,December,12 Month-ending,Number of Infant Deaths,19600.0
UNITED STATES,2021.0,January,12 Month-ending,Number of Infant Deaths,19400.0
UNITED STATES,2021.0,February,12 Month-ending,Number of Infant Deaths,19200.0
UNITED STATES,2021.0,March,12 Month-ending,Number of Infant Deaths,19100.0
ALABAMA,2020.0,January,Monthly,Number of Deaths,4820.0
ALASKA,2020.0,January,Monthly,Number of Deaths,435.0
ARIZONA,2020.0,January,Monthly,Number of Deaths,5774.0
ARKANSAS,2020.0,January,Monthly,Number of Deaths,2988.0
CALIFORNIA,2020.0,January,Monthly,Number of Deaths,25651.0
COLORADO,2020.0,January,Monthly,Number of Deaths,3659.0
CONNECTICUT,2020.0,January,Monthly,Number of Deaths,2847.0
DELAWARE,2020.0,January,Monthly,Number of Deaths,851.0
DISTRICT OF COLUMBIA,2020.0,January,Monthly,Number of Deaths,494.0
FLORIDA,2020.0,January,Monthly,Number of Deaths,19239.0
GEORGIA,2020.0,January,Monthly,Number of Deaths,7918.0
HAWAII,2020.0,January,Monthly,Number of Deaths,1058.0
IDAHO,2020.0,January,Monthly,Number of Deaths,1243.0
ILLINOIS,2020.0,January,Monthly,Number of Deaths,10083.0
INDIANA,2020.0,January,Monthly,Number of Deaths,6197.0
IOWA,2020.0,January,Monthly,Number of Deaths,2839.0
KANSAS,2020.0,January,Monthly,Number of Deaths,2624.0
KENTUCKY,2020.0,January,Monthly,Number of Deaths,4556.0
LOUISIANA,2020.0,January,Monthly,Number of Deaths,4238.0
MAINE,2020.0,January,Monthly,Number of Deaths,1370.0
MARYLAND,2020.0,January,Monthly,Number of Deaths,4531.0
MASSACHUSETTS,2020.0,January,Monthly,Number of Deaths,5398.0
MICHIGAN,2020.0,January,Monthly,Number of Deaths,9070.0
MINNESOTA,2020.0,January,Monthly,Number of Deaths,4273.0
MISSISSIPPI,2020.0,January,Monthly,Number of Deaths,2851.0
MISSOURI,2020.0,January,Monthly,Number of Deaths,5744.0
MONTANA,2020.0,January,Monthly,Number of Deaths,934.0
NEBRASKA,2020.0,January,Monthly,Number of Deaths,1542.0
NEVADA,2020.0,January,Monthly,Number of Deaths,2395.0
NEW HAMPSHIRE,2020.0,January,Monthly,Number of Deaths,1132.0
NEW JERSEY,2020.0,January,Monthly,Number of Deaths,7022.0
NEW MEXICO,2020.0,January,Monthly,Number of Deaths,1817.0
NEW YORK,2020.0,January,Monthly,Number of Deaths,14515.0
NORTH CAROLINA,2020.0,January,Monthly,Number of Deaths,8643.0
NORTH DAKOTA,2020.0,January,Monthly,Number of Deaths,602.0
OHIO,2020.0,January,Monthly,Number of Deaths,11251.0
OKLAHOMA,2020.0,January,Monthly,Number of Deaths,3838.0
OREGON,2020.0,January,Monthly,Number of Deaths,3297.0
PENNSYLVANIA,2020.0,January,Monthly,Number of Deaths,12391.0
RHODE ISLAND,2020.0,January,Monthly,Number of Deaths,888.0
SOUTH CAROLINA,2020.0,January,Monthly,Number of Deaths,4807.0
SOUTH DAKOTA,2020.0,January,Monthly,Number of Deaths,718.0
TENNESSEE,2020.0,January,Monthly,Number of Deaths,6790.0
TEXAS,2020.0,January,Monthly,Number of Deaths,18788.0
UTAH,2020.0,January,Monthly,Number of Deaths,1711.0
VERMONT,2020.0,January,Monthly,Number of Deaths,515.0
VIRGINIA,2020.0,January,Monthly,Number of Deaths,6673.0
WASHINGTON,2020.0,January,Monthly,Number of Deaths,5364.0
WEST VIRGINIA,2020.0,January,Monthly,Number of Deaths,2223.0
WISCONSIN,2020.0,January,Monthly,Number of Deaths,4956.0
WYOMING,2020.0,January,Monthly,Number of Deaths,496.0
PUERTO RICO,2020.0,January,Monthly,Number of Deaths,2705.0
