UK Trade & Investment,Unnamed: 1
,
"Table 1: For all off-payroll engagements as of 31 March 2015, for more than £220 per day and that last for longer than six months",
,2014-15
No. of existing engagements as of 31 March 2014,16
Of which... ,
No. that have existed for less than one year at time of reporting.,8
No. that have existed for between one and two years at time of reporting.,4
No. that have existed for between two and three years at time of reporting.,1
No. that have existed for between three and four years at time of reporting.,1
No. that have existed for four or more years at time of reporting.,2
,
"All existing off-payroll engagements, outlined above, have at some point been subject to a risk based assessment as to whether assurance is required that the individual is paying the right amount of tax and, where necessary, assurance has been sought.",
,
"Table 2: For all new off-payroll engagements, or those that reached six months in duration, between 1 April 2014 and 31 March 2015, for more than £220 per day and that last for longer than six months",
,
"No. of new engagements, or those that reached six months in duration, between 1 April 2014 and 31 March 2015",7
No. of the above which include contractual clauses giving the department the right to request assurance in relation to income tax and National Insurance obligations,7
No. for whom assurance has been requested,7
Of which...,
No. for whom assurance has been received,6
No. for whom assurance has not been received,1
No. that have been terminated as a result of assurance not being received.,0
,
"Table 3: For any off-payroll engagements of board members, and/or, senior officials with significant financial responsibility, between 1 April 2014 and 31 March 2015",
,
"No. of off-payroll engagements of board members, and/or, senior officials with significant financial responsibility, during the financial year.",Nil
"No. of individuals that have been deemed “board members, and/or, senior officials with significant financial responsibility”, during the financial year. This figure should include both off-payroll and on-payroll engagements.",22*
,
*UKTI's departmental Board is a joint Board with UKEF. Two of UKTI's Non Executive Director's are therefore engaged by UKEF and reported in their Annual Report.,
