CODE,TREE,LOCALITY,SPECIES,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORIGIN,STAND,EXTRACTION #,HAPLOTYPE,Colour
P4-165,1.0,Briar Wood,Quercus petraea,54.952,-2.328,152.0,England,autochthonus,Forest,BRR1,10,White
P4-165,2.0,Briar Wood,Quercus petraea,54.952,-2.328,152.0,England,autochthonus,Forest,BRR2,10,White
P4-165,3.0,Briar Wood,Quercus petraea,54.952,-2.328,152.0,England,autochthonus,Forest,BRR3,10,White
P4-165,4.0,Briar Wood,Quercus petraea,54.952,-2.328,152.0,England,autochthonus,Forest,BRR4,10,White
P4-165,5.0,Briar Wood,Quercus petraea/Intermediate,54.952,-2.328,152.0,England,autochthonus,Forest,BRR5,10,White
P4-166,1.0,Collinpark Wood,Quercus petraea,51.95,-2.364,46.0,England,autochthonus,Forest,CRK1,24,Pale Blue
P4-166,2.0,Collinpark Wood,Quercus petraea,51.95,-2.364,46.0,England,autochthonus,Forest,CRK2,24,Pale Blue
P4-166,3.0,Collinpark Wood,Quercus petraea,51.95,-2.364,46.0,England,autochthonus,Forest,CRK3,24,Pale Blue
P4-166,4.0,Collinpark Wood,Quercus petraea,51.95,-2.364,46.0,England,autochthonus,Forest,CRK4,24,Pale Blue
P4-166,5.0,Collinpark Wood,Intermediate,51.95,-2.364,46.0,England,autochthonus,Forest,CRK5,24,Pale Blue
