For publication,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,For internal use only,Unnamed: 15,Unnamed: 16,Unnamed: 17,Drop-downs,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,"Total cost of engaging the individual, within a range. Excludes VAT. ",,,,,,,,Key,,,,,,,,,,,,
Sponsor Department,Organisation,Job Title,Specialism,Contractual Chain - i.e. Type of organisation that payments are being made to.,"Name of company,business or other entity to which payments are made.","Address of company, business or other entity to which payments are made.","Engagement length category. Shows the current continuous engagement period, including any contract renewals.",Number of contract renewals,Lower bound,Upper bound,Payment methods,Has the contract been ended and/or the individual brought onto payroll since January 31st? Y/N,Additional comments,Unique identifier provided by Cabinet Office,"Is this individual a new addition to the list, since information was previously provided to CO/HMT? Y/N",,n/a ,,,,Data either not available or not applicable to the individual record.,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",4yrs<5yrs,,700,799,per day,Y,Contract ended April 2012,1743,N,,-,,,,Records which have not been disclosed under the Data Protection Act.,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",1yr<2yrs ongoing,,200,300,per day,N,,1749,N,,,,,,,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",1yr<2yrs ongoing,,200,300,per day,N,,1750,N,,,IT,0<6months,Y,,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Capita Recruitment,"71 Victoria Street, Westminster, SW1H 0XA",4yrs<5yrs,,1200,1300,per day,Y,Contract ends May 2012,1744,N,,,Finance,6months<1yr,N,,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",3yrs<4yrs ongoing,,800,900,per day,N,,1745,N,,,Legal,1yr<2yrs,,,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",1yr<2yrs ongoing,,200,300,per day,N,,1748,N,,,HR,2yrs<3yrs,,,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",0<6months,,400,500,per day,Y,Contract ended April 2012,1747,N,,,Policy delivery,3yrs<4yrs,,,,,,,,,,
Attorney General's Office,Serious Fraud Office ,,Other,An Employment Business ,Adecco,"Bridge House, 4 Borough High Street, SE1 9QQ",0<6months,1,700,800,per day,N,,1746,N,,,Operational delivery,4yrs<5yrs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Procurement and contract management,5yrs<6yrs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Programme and project management,6yrs<7yrs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Internal audit,7yrs<8yrs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Medicine,8yrs<9yrs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Science,9yrs<10yrs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Other,10yrs plus,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0<6months ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6months<1yr ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1yr<2yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2yrs<3yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3yrs<4yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4yrs<5yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5yrs<6yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6yrs<7yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,7yrs<8yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,8yrs<9yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,9yrs<10yrs ongoing,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
