NZ Port,Citizenship,Count,Year
Marlborough Sounds,Canada,2462.0,2015.0
Marlborough Sounds,China, Peoples Republic of,685.0,2015.0
Marlborough Sounds,France,243.0,2015.0
Marlborough Sounds,Germany,1283.0,2015.0
Marlborough Sounds,Hong Kong (Special Admin Reg),210.0,2015.0
Marlborough Sounds,Israel,121.0,2015.0
Marlborough Sounds,Italy,126.0,2015.0
Marlborough Sounds,Japan,181.0,2015.0
Marlborough Sounds,Malaysia,169.0,2015.0
Marlborough Sounds,Mexico,131.0,2015.0
Marlborough Sounds,Netherlands,193.0,2015.0
Marlborough Sounds,New Zealand,1193.0,2015.0
Marlborough Sounds,South Africa,166.0,2015.0
Marlborough Sounds,Switzerland,335.0,2015.0
Marlborough Sounds,United Kingdom,4059.0,2015.0
Marlborough Sounds,United States of America,11468.0,2015.0
Napier,Australia,68351.0,2015.0
Napier,Austria,110.0,2015.0
Napier,Brazil,192.0,2015.0
Napier,Canada,2497.0,2015.0
Napier,China, Peoples Republic of,1137.0,2015.0
Napier,France,130.0,2015.0
Napier,Germany,969.0,2015.0
Napier,Hong Kong (Special Admin Reg),228.0,2015.0
Napier,Ireland,102.0,2015.0
Napier,Israel,123.0,2015.0
Napier,Italy,248.0,2015.0
Napier,Japan,180.0,2015.0
Napier,Malaysia,268.0,2015.0
Napier,Mexico,131.0,2015.0
Napier,Netherlands,312.0,2015.0
Napier,New Zealand,3007.0,2015.0
Napier,Philippines,100.0,2015.0
Napier,Russia,159.0,2015.0
Napier,Singapore,130.0,2015.0
Napier,South Africa,153.0,2015.0
Napier,Switzerland,245.0,2015.0
Napier,Taiwan,119.0,2015.0
Napier,United Kingdom,3754.0,2015.0
Napier,United States of America,12053.0,2015.0
Nelson,France,161.0,2015.0
Nelson,Germany,407.0,2015.0
Nelson,United States of America,309.0,2015.0
Stewart Island,Australia,405.0,2015.0
Stewart Island,Germany,492.0,2015.0
Stewart Island,United Kingdom,393.0,2015.0
Stewart Island,United States of America,1346.0,2015.0
Tauranga,Australia,86366.0,2015.0
Tauranga,Austria,210.0,2015.0
Tauranga,Belgium,225.0,2015.0
Tauranga,Brazil,361.0,2015.0
Tauranga,Canada,4836.0,2015.0
Tauranga,Chile,116.0,2015.0
Tauranga,China, Peoples Republic of,1969.0,2015.0
Tauranga,France,480.0,2015.0
Tauranga,Germany,3410.0,2015.0
Tauranga,Hong Kong (Special Admin Reg),536.0,2015.0
Tauranga,India,152.0,2015.0
Tauranga,Ireland,211.0,2015.0
Tauranga,Israel,259.0,2015.0
Tauranga,Italy,339.0,2015.0
Tauranga,Japan,890.0,2015.0
Tauranga,Malaysia,418.0,2015.0
Tauranga,Mexico,481.0,2015.0
Tauranga,Netherlands,436.0,2015.0
Tauranga,New Zealand,6805.0,2015.0
Tauranga,Norway,107.0,2015.0
Tauranga,Philippines,186.0,2015.0
Tauranga,Russia,336.0,2015.0
Tauranga,Singapore,248.0,2015.0
Tauranga,South Africa,266.0,2015.0
Tauranga,Spain,159.0,2015.0
Tauranga,Sweden,229.0,2015.0
Tauranga,Switzerland,520.0,2015.0
Tauranga,Taiwan,234.0,2015.0
Tauranga,United Kingdom,9222.0,2015.0
Tauranga,United States of America,25932.0,2015.0
Timaru,Australia,174.0,2015.0
Timaru,Germany,423.0,2015.0
Timaru,United Kingdom,161.0,2015.0
Timaru,United States of America,997.0,2015.0
Wellington,Australia,88867.0,2015.0
Wellington,Austria,180.0,2015.0
Wellington,Belgium,215.0,2015.0
Wellington,Brazil,400.0,2015.0
Wellington,Canada,4064.0,2015.0
Wellington,Chile,109.0,2015.0
Wellington,China, Peoples Republic of,1416.0,2015.0
Wellington,Denmark,145.0,2015.0
Wellington,France,395.0,2015.0
Wellington,Germany,1882.0,2015.0
Wellington,Hong Kong (Special Admin Reg),506.0,2015.0
Wellington,India,140.0,2015.0
Wellington,Ireland,217.0,2015.0
Wellington,Israel,232.0,2015.0
Wellington,Italy,315.0,2015.0
Wellington,Japan,358.0,2015.0
Wellington,Malaysia,384.0,2015.0
Wellington,Mexico,464.0,2015.0
Wellington,Netherlands,403.0,2015.0
Wellington,New Zealand,4427.0,2015.0
Wellington,Norway,100.0,2015.0
Wellington,Philippines,170.0,2015.0
Wellington,Russia,286.0,2015.0
Wellington,Singapore,236.0,2015.0
Wellington,South Africa,286.0,2015.0
Wellington,Spain,148.0,2015.0
Wellington,Sweden,251.0,2015.0
Wellington,Switzerland,393.0,2015.0
Wellington,Taiwan,174.0,2015.0
Wellington,United Kingdom,8628.0,2015.0
Wellington,United States of America,22088.0,2015.0
Akaroa,Argentina,130.0,2016.0
Akaroa,Australia,69327.0,2016.0
Akaroa,Austria,142.0,2016.0
Akaroa,Belgium,230.0,2016.0
Akaroa,Brazil,203.0,2016.0
Akaroa,Canada,5187.0,2016.0
Akaroa,China, Peoples Republic of,2027.0,2016.0
Akaroa,Denmark,131.0,2016.0
Akaroa,France,340.0,2016.0
Akaroa,Germany,1711.0,2016.0
Akaroa,Hong Kong (Special Admin Reg),258.0,2016.0
Akaroa,India,167.0,2016.0
Akaroa,Ireland,216.0,2016.0
Akaroa,Israel,265.0,2016.0
Akaroa,Italy,188.0,2016.0
Akaroa,Japan,784.0,2016.0
Akaroa,Malaysia,280.0,2016.0
Akaroa,Mexico,397.0,2016.0
Akaroa,Netherlands,445.0,2016.0
Akaroa,New Zealand,7154.0,2016.0
Akaroa,Norway,113.0,2016.0
Akaroa,Philippines,205.0,2016.0
Akaroa,Poland,118.0,2016.0
Akaroa,Portugal,120.0,2016.0
Akaroa,Russia,160.0,2016.0
Akaroa,Singapore,233.0,2016.0
Akaroa,South Africa,185.0,2016.0
Akaroa,Spain,167.0,2016.0
Akaroa,Sweden,257.0,2016.0
Akaroa,Switzerland,477.0,2016.0
Akaroa,Taiwan,175.0,2016.0
Akaroa,United Kingdom,11409.0,2016.0
Akaroa,United States of America,24494.0,2016.0
Auckland,Argentina,201.0,2016.0
Auckland,Australia,118394.0,2016.0
Auckland,Austria,459.0,2016.0
Auckland,Belgium,299.0,2016.0
Auckland,Brazil,278.0,2016.0
Auckland,Canada,6152.0,2016.0
Auckland,Chile,191.0,2016.0
Auckland,China, Peoples Republic of,3519.0,2016.0
Auckland,Denmark,305.0,2016.0
Auckland,Finland,132.0,2016.0
Auckland,France,1303.0,2016.0
Auckland,Germany,5128.0,2016.0
Auckland,Hong Kong (Special Admin Reg),326.0,2016.0
Auckland,India,318.0,2016.0
Auckland,Indonesia,138.0,2016.0
Auckland,Ireland,353.0,2016.0
Auckland,Israel,410.0,2016.0
Auckland,Italy,745.0,2016.0
Auckland,Japan,1228.0,2016.0
Auckland,Korea, Republic of,236.0,2016.0
Auckland,Malaysia,420.0,2016.0
Auckland,Mexico,491.0,2016.0
Auckland,Netherlands,677.0,2016.0
Auckland,New Zealand,25727.0,2016.0
Auckland,Norway,160.0,2016.0
Auckland,Philippines,299.0,2016.0
Auckland,Poland,171.0,2016.0
Auckland,Portugal,122.0,2016.0
Auckland,Russia,222.0,2016.0
Auckland,Singapore,371.0,2016.0
Auckland,South Africa,410.0,2016.0
Auckland,Spain,518.0,2016.0
Auckland,Sweden,374.0,2016.0
Auckland,Switzerland,1374.0,2016.0
Auckland,Taiwan,235.0,2016.0
Auckland,United Kingdom,15232.0,2016.0
Auckland,United States of America,29083.0,2016.0
Bay of Islands,Australia,60733.0,2016.0
Bay of Islands,Austria,273.0,2016.0
Bay of Islands,Belgium,228.0,2016.0
Bay of Islands,Brazil,205.0,2016.0
Bay of Islands,Canada,4018.0,2016.0
Bay of Islands,Chile,121.0,2016.0
Bay of Islands,China, Peoples Republic of,1538.0,2016.0
Bay of Islands,Denmark,191.0,2016.0
Bay of Islands,Finland,100.0,2016.0
Bay of Islands,France,604.0,2016.0
Bay of Islands,Germany,3385.0,2016.0
Bay of Islands,Hong Kong (Special Admin Reg),157.0,2016.0
Bay of Islands,India,118.0,2016.0
Bay of Islands,Ireland,219.0,2016.0
Bay of Islands,Israel,274.0,2016.0
Bay of Islands,Italy,326.0,2016.0
Bay of Islands,Japan,421.0,2016.0
Bay of Islands,Malaysia,201.0,2016.0
Bay of Islands,Mexico,309.0,2016.0
Bay of Islands,Netherlands,390.0,2016.0
Bay of Islands,New Zealand,6886.0,2016.0
Bay of Islands,Norway,112.0,2016.0
Bay of Islands,Philippines,127.0,2016.0
Bay of Islands,Russia,125.0,2016.0
Bay of Islands,Singapore,228.0,2016.0
Bay of Islands,South Africa,198.0,2016.0
Bay of Islands,Spain,336.0,2016.0
Bay of Islands,Sweden,254.0,2016.0
Bay of Islands,Switzerland,791.0,2016.0
Bay of Islands,Taiwan,131.0,2016.0
Bay of Islands,United Kingdom,10231.0,2016.0
Bay of Islands,United States of America,16851.0,2016.0
Bluff,Australia,115.0,2016.0
Dunedin,Argentina,139.0,2016.0
Dunedin,Australia,85665.0,2016.0
Dunedin,Austria,153.0,2016.0
Dunedin,Belgium,232.0,2016.0
Dunedin,Brazil,218.0,2016.0
Dunedin,Canada,5236.0,2016.0
Dunedin,China, Peoples Republic of,2117.0,2016.0
Dunedin,Denmark,144.0,2016.0
Dunedin,France,236.0,2016.0
Dunedin,Germany,1807.0,2016.0
Dunedin,Hong Kong (Special Admin Reg),294.0,2016.0
Dunedin,India,200.0,2016.0
Dunedin,Indonesia,107.0,2016.0
Dunedin,Ireland,244.0,2016.0
Dunedin,Israel,329.0,2016.0
Dunedin,Italy,216.0,2016.0
Dunedin,Japan,845.0,2016.0
Dunedin,Korea, Republic of,106.0,2016.0
Dunedin,Malaysia,335.0,2016.0
Dunedin,Mexico,444.0,2016.0
Dunedin,Netherlands,463.0,2016.0
Dunedin,New Zealand,6006.0,2016.0
Dunedin,Norway,114.0,2016.0
Dunedin,Philippines,227.0,2016.0
Dunedin,Poland,127.0,2016.0
Dunedin,Portugal,139.0,2016.0
Dunedin,Russia,181.0,2016.0
Dunedin,Singapore,307.0,2016.0
Dunedin,South Africa,228.0,2016.0
Dunedin,Spain,179.0,2016.0
Dunedin,Sweden,266.0,2016.0
Dunedin,Switzerland,476.0,2016.0
Dunedin,Taiwan,197.0,2016.0
Dunedin,United Kingdom,11527.0,2016.0
Dunedin,United States of America,25195.0,2016.0
Fiordland,Argentina,139.0,2016.0
Fiordland,Australia,86110.0,2016.0
Fiordland,Austria,180.0,2016.0
Fiordland,Belgium,244.0,2016.0
Fiordland,Brazil,220.0,2016.0
Fiordland,Canada,5364.0,2016.0
Fiordland,China, Peoples Republic of,2329.0,2016.0
Fiordland,Denmark,148.0,2016.0
Fiordland,France,298.0,2016.0
Fiordland,Germany,2147.0,2016.0
Fiordland,Hong Kong (Special Admin Reg),292.0,2016.0
Fiordland,India,207.0,2016.0
Fiordland,Indonesia,114.0,2016.0
Fiordland,Ireland,251.0,2016.0
Fiordland,Israel,329.0,2016.0
Fiordland,Italy,219.0,2016.0
Fiordland,Japan,1145.0,2016.0
Fiordland,Korea, Republic of,118.0,2016.0
Fiordland,Malaysia,341.0,2016.0
Fiordland,Mexico,445.0,2016.0
Fiordland,Netherlands,484.0,2016.0
Fiordland,New Zealand,7464.0,2016.0
Fiordland,Norway,118.0,2016.0
Fiordland,Philippines,227.0,2016.0
Fiordland,Poland,127.0,2016.0
Fiordland,Portugal,139.0,2016.0
Fiordland,Russia,181.0,2016.0
Fiordland,Singapore,310.0,2016.0
Fiordland,South Africa,244.0,2016.0
Fiordland,Spain,182.0,2016.0
Fiordland,Sweden,271.0,2016.0
Fiordland,Switzerland,526.0,2016.0
Fiordland,Taiwan,200.0,2016.0
Fiordland,United Kingdom,12301.0,2016.0
Fiordland,United States of America,25631.0,2016.0
Gisborne,Australia,22615.0,2016.0
Gisborne,Canada,221.0,2016.0
Gisborne,China, Peoples Republic of,278.0,2016.0
Gisborne,Germany,100.0,2016.0
Gisborne,New Zealand,1631.0,2016.0
Gisborne,United Kingdom,944.0,2016.0
Gisborne,United States of America,1718.0,2016.0
Lyttelton,Germany,770.0,2016.0
Lyttelton,Japan,297.0,2016.0
Marlborough Sounds,Australia,44698.0,2016.0
Marlborough Sounds,Canada,2599.0,2016.0
Marlborough Sounds,China, Peoples Republic of,1199.0,2016.0
Marlborough Sounds,France,244.0,2016.0
Marlborough Sounds,Germany,547.0,2016.0
Marlborough Sounds,Hong Kong (Special Admin Reg),116.0,2016.0
Marlborough Sounds,India,105.0,2016.0
Marlborough Sounds,Ireland,104.0,2016.0
Marlborough Sounds,Israel,196.0,2016.0
Marlborough Sounds,Japan,506.0,2016.0
Marlborough Sounds,Korea, Republic of,115.0,2016.0
Marlborough Sounds,Malaysia,159.0,2016.0
Marlborough Sounds,Mexico,178.0,2016.0
Marlborough Sounds,Netherlands,293.0,2016.0
Marlborough Sounds,New Zealand,3745.0,2016.0
Marlborough Sounds,Philippines,123.0,2016.0
Marlborough Sounds,Singapore,158.0,2016.0
Marlborough Sounds,South Africa,142.0,2016.0
Marlborough Sounds,Sweden,104.0,2016.0
Marlborough Sounds,Switzerland,160.0,2016.0
Marlborough Sounds,United Kingdom,3478.0,2016.0
Marlborough Sounds,United States of America,13655.0,2016.0
Napier,Australia,52768.0,2016.0
Napier,Canada,2261.0,2016.0
Napier,China, Peoples Republic of,1513.0,2016.0
Napier,France,142.0,2016.0
Napier,Germany,1209.0,2016.0
Napier,Hong Kong (Special Admin Reg),105.0,2016.0
Napier,India,136.0,2016.0
Napier,Ireland,126.0,2016.0
Napier,Israel,200.0,2016.0
Napier,Italy,116.0,2016.0
Napier,Japan,114.0,2016.0
Napier,Korea, Republic of,145.0,2016.0
Napier,Malaysia,168.0,2016.0
Napier,Mexico,105.0,2016.0
Napier,Netherlands,316.0,2016.0
Napier,New Zealand,4799.0,2016.0
Napier,Philippines,183.0,2016.0
Napier,Singapore,136.0,2016.0
Napier,South Africa,152.0,2016.0
Napier,Switzerland,241.0,2016.0
Napier,United Kingdom,3391.0,2016.0
Napier,United States of America,10265.0,2016.0
Stewart Island,China, Peoples Republic of,209.0,2016.0
Stewart Island,Germany,800.0,2016.0
Stewart Island,New Zealand,1336.0,2016.0
Stewart Island,United Kingdom,259.0,2016.0
Stewart Island,United States of America,404.0,2016.0
Sub-Antarctic islands,Australia,115.0,2016.0
Tauranga,Argentina,167.0,2016.0
Tauranga,Australia,103251.0,2016.0
Tauranga,Austria,193.0,2016.0
Tauranga,Belgium,239.0,2016.0
Tauranga,Brazil,246.0,2016.0
Tauranga,Canada,5295.0,2016.0
Tauranga,Chile,122.0,2016.0
Tauranga,China, Peoples Republic of,2491.0,2016.0
Tauranga,Denmark,173.0,2016.0
Tauranga,France,611.0,2016.0
Tauranga,Germany,2192.0,2016.0
Tauranga,Hong Kong (Special Admin Reg),319.0,2016.0
Tauranga,India,214.0,2016.0
Tauranga,Indonesia,117.0,2016.0
Tauranga,Ireland,274.0,2016.0
Tauranga,Israel,393.0,2016.0
Tauranga,Italy,425.0,2016.0
Tauranga,Japan,864.0,2016.0
Tauranga,Korea, Republic of,146.0,2016.0
Tauranga,Malaysia,367.0,2016.0
Tauranga,Mexico,453.0,2016.0
Tauranga,Netherlands,504.0,2016.0
Tauranga,New Zealand,5802.0,2016.0
Tauranga,Norway,115.0,2016.0
Tauranga,Philippines,276.0,2016.0
Tauranga,Poland,131.0,2016.0
Tauranga,Russia,184.0,2016.0
Tauranga,Singapore,327.0,2016.0
Tauranga,South Africa,245.0,2016.0
Tauranga,Spain,352.0,2016.0
Tauranga,Sweden,298.0,2016.0
Tauranga,Switzerland,687.0,2016.0
Tauranga,Taiwan,199.0,2016.0
Tauranga,United Kingdom,10656.0,2016.0
Tauranga,United States of America,24987.0,2016.0
Wellington,Argentina,157.0,2016.0
Wellington,Australia,98383.0,2016.0
Wellington,Austria,191.0,2016.0
Wellington,Belgium,239.0,2016.0
Wellington,Brazil,249.0,2016.0
Wellington,Canada,5299.0,2016.0
Wellington,Chile,131.0,2016.0
Wellington,China, Peoples Republic of,2485.0,2016.0
Wellington,Denmark,164.0,2016.0
Wellington,France,361.0,2016.0
Wellington,Germany,2357.0,2016.0
Wellington,Hong Kong (Special Admin Reg),267.0,2016.0
Wellington,India,237.0,2016.0
Wellington,Indonesia,130.0,2016.0
Wellington,Ireland,285.0,2016.0
Wellington,Israel,395.0,2016.0
Wellington,Italy,256.0,2016.0
Wellington,Japan,680.0,2016.0
Wellington,Korea, Republic of,157.0,2016.0
Wellington,Malaysia,339.0,2016.0
Wellington,Mexico,476.0,2016.0
Wellington,Netherlands,496.0,2016.0
Wellington,New Zealand,6970.0,2016.0
Wellington,Norway,129.0,2016.0
Wellington,Philippines,261.0,2016.0
Wellington,Poland,138.0,2016.0
Wellington,Portugal,138.0,2016.0
Wellington,Russia,180.0,2016.0
Wellington,Singapore,328.0,2016.0
Wellington,South Africa,282.0,2016.0
Wellington,Spain,189.0,2016.0
Wellington,Sweden,280.0,2016.0
Wellington,Switzerland,557.0,2016.0
Wellington,Taiwan,177.0,2016.0
Wellington,United Kingdom,12235.0,2016.0
Wellington,United States of America,24737.0,2016.0
Akaroa,Argentina,127.0,2017.0
Akaroa,Australia,75112.0,2017.0
Akaroa,Austria,203.0,2017.0
Akaroa,Belgium,221.0,2017.0
Akaroa,Brazil,261.0,2017.0
Akaroa,Canada,6752.0,2017.0
Akaroa,China, Peoples Republic of,2053.0,2017.0
Akaroa,Denmark,193.0,2017.0
Akaroa,Finland,113.0,2017.0
Akaroa,France,333.0,2017.0
Akaroa,Germany,2354.0,2017.0
Akaroa,Hong Kong (Special Admin Reg),908.0,2017.0
Akaroa,India,185.0,2017.0
Akaroa,Ireland,228.0,2017.0
Akaroa,Israel,269.0,2017.0
Akaroa,Italy,266.0,2017.0
Akaroa,Japan,743.0,2017.0
Akaroa,Korea, Republic of,164.0,2017.0
Akaroa,Malaysia,301.0,2017.0
Akaroa,Mexico,316.0,2017.0
Akaroa,Netherlands,706.0,2017.0
Akaroa,New Zealand,7746.0,2017.0
Akaroa,Philippines,225.0,2017.0
Akaroa,Poland,122.0,2017.0
Akaroa,Portugal,193.0,2017.0
Akaroa,Russia,170.0,2017.0
Akaroa,Singapore,247.0,2017.0
Akaroa,South Africa,202.0,2017.0
Akaroa,Spain,205.0,2017.0
Akaroa,Sweden,217.0,2017.0
Akaroa,Switzerland,455.0,2017.0
Akaroa,Taiwan,377.0,2017.0
Akaroa,United Kingdom,11707.0,2017.0
Akaroa,United States of America,30641.0,2017.0
Auckland,Argentina,215.0,2017.0
Auckland,Australia,92435.0,2017.0
Auckland,Austria,664.0,2017.0
Auckland,Belgium,332.0,2017.0
Auckland,Brazil,415.0,2017.0
Auckland,Canada,8252.0,2017.0
Auckland,Chile,126.0,2017.0
Auckland,China, Peoples Republic of,2634.0,2017.0
Auckland,Denmark,398.0,2017.0
Auckland,Finland,206.0,2017.0
Auckland,France,1365.0,2017.0
Auckland,Germany,6910.0,2017.0
Auckland,Hong Kong (Special Admin Reg),1007.0,2017.0
Auckland,India,241.0,2017.0
Auckland,Indonesia,170.0,2017.0
Auckland,Ireland,313.0,2017.0
Auckland,Israel,319.0,2017.0
Auckland,Italy,756.0,2017.0
Auckland,Japan,932.0,2017.0
Auckland,Korea, Republic of,233.0,2017.0
Auckland,Malaysia,399.0,2017.0
Auckland,Mexico,438.0,2017.0
Auckland,Netherlands,932.0,2017.0
Auckland,New Zealand,14988.0,2017.0
Auckland,Norway,197.0,2017.0
Auckland,Philippines,265.0,2017.0
Auckland,Poland,178.0,2017.0
Auckland,Portugal,223.0,2017.0
Auckland,Russia,248.0,2017.0
Auckland,Singapore,297.0,2017.0
Auckland,South Africa,296.0,2017.0
Auckland,Spain,549.0,2017.0
Auckland,Sweden,404.0,2017.0
Auckland,Switzerland,1325.0,2017.0
Auckland,Taiwan,422.0,2017.0
Auckland,Thailand,106.0,2017.0
Auckland,United Kingdom,17266.0,2017.0
Auckland,United States of America,35598.0,2017.0
Bay of Islands,Australia,48685.0,2017.0
Bay of Islands,Austria,271.0,2017.0
Bay of Islands,Belgium,214.0,2017.0
Bay of Islands,Brazil,143.0,2017.0
Bay of Islands,Canada,3101.0,2017.0
Bay of Islands,China, Peoples Republic of,920.0,2017.0
Bay of Islands,Denmark,239.0,2017.0
Bay of Islands,Finland,107.0,2017.0
Bay of Islands,France,444.0,2017.0
Bay of Islands,Germany,3555.0,2017.0
Bay of Islands,Hong Kong (Special Admin Reg),424.0,2017.0
Bay of Islands,Ireland,156.0,2017.0
Bay of Islands,Israel,128.0,2017.0
Bay of Islands,Italy,159.0,2017.0
Bay of Islands,Japan,393.0,2017.0
Bay of Islands,Malaysia,111.0,2017.0
Bay of Islands,Mexico,142.0,2017.0
Bay of Islands,Netherlands,356.0,2017.0
Bay of Islands,New Zealand,5601.0,2017.0
Bay of Islands,Russia,123.0,2017.0
Bay of Islands,Singapore,152.0,2017.0
Bay of Islands,South Africa,109.0,2017.0
Bay of Islands,Spain,154.0,2017.0
Bay of Islands,Sweden,172.0,2017.0
Bay of Islands,Switzerland,434.0,2017.0
Bay of Islands,Taiwan,124.0,2017.0
Bay of Islands,United Kingdom,8029.0,2017.0
Bay of Islands,United States of America,13102.0,2017.0
Bluff,Australia,105.0,2017.0
Bluff,Germany,1219.0,2017.0
Bluff,Switzerland,107.0,2017.0
Dunedin,Argentina,138.0,2017.0
Dunedin,Australia,88049.0,2017.0
Dunedin,Austria,275.0,2017.0
Dunedin,Belgium,237.0,2017.0
