Series reference,Description,Period,Previously published,Revised
PPIQ.SQNCC3100,PPI input index level 3 - Wood product manufacturing,2020.06,1163.0,1164.0
PPIQ.SQNCC311X,PPI input index level 4 - Wood product manufacturing,2020.06,1163.0,1164.0
PPIQ.SQNCC3200,PPI input index level 3 - Pulp, paper and converted paper product manufacturing,2020.06,1114.0,1115.0
PPIQ.SQNCC321X,PPI input index level 4 - Pulp, paper and converted paper product manufacturing,2020.06,1114.0,1115.0
PPIQ.SQNCC5300,PPI input index level 3 - Polymer product and rubber product manufacturing,2020.06,1149.0,1151.0
PPIQ.SQNCC531X,PPI input index level 4 - Polymer product and rubber product manufacturing,2020.06,1149.0,1151.0
PPIQ.SQNCC6000,PPI input index level 2 - Non-metallic mineral product manufacturing,2020.06,1137.0,1141.0
PPIQ.SQNCC6100,PPI input index level 3 - Non-metallic mineral product manufacturing,2020.06,1137.0,1141.0
PPIQ.SQNCC611X,PPI input index level 4 - Non-metallic mineral product manufacturing,2020.06,1137.0,1141.0
PPIQ.SQNCC9000,PPI input index level 2 - Furniture and other manufacturing,2020.06,1189.0,1192.0
PPIQ.SQNCC9100,PPI input index level 3 - Furniture and other manufacturing,2020.06,1189.0,1192.0
PPIQ.SQNCC911X,PPI input index level 4 - Furniture manufacturing,2020.06,1158.0,1161.0
PPIQ.SQNCC912X,PPI input index level 4 - Other manufacturing,2020.06,1251.0,1252.0
PPIQ.SQNDD0000,PPI input index level 1 - Electricity, gas, water and waste services,2020.06,1232.0,1233.0
PPIQ.SQNDD1000,PPI input index level 2 - Electricity, gas, water and waste services,2020.06,1232.0,1233.0
PPIQ.SQNDD1200,PPI input index level 3 - Water, sewerage, drainage and waste services,2020.06,1282.0,1283.0
PPIQ.SQNFF0000,PPI input index level 1 - Wholesale trade,2020.06,1139.0,1142.0
PPIQ.SQNFF1000,PPI input index level 2 - Wholesale trade,2020.06,1139.0,1142.0
PPIQ.SQNFF1100,PPI input index level 3 - Wholesale trade,2020.06,1139.0,1142.0
PPIQ.SQNFF111X,PPI input index level 4 - Basic material wholesaling,2020.06,1117.0,1120.0
PPIQ.SQNFF112X,PPI input index level 4 - Machinery & equipment wholesaling,2020.06,1146.0,1148.0
PPIQ.SQNFF113X,PPI input index level 4 - Motor vehicle & parts wholesaling,2020.06,1124.0,1126.0
PPIQ.SQNFF114X,PPI input index level 4 - Grocery, liquor, tobacco wholesaling,2020.06,1151.0,1155.0
PPIQ.SQNFF115X,PPI input index level 4 - Other goods wholesaling,2020.06,1156.0,1159.0
PPIQ.SQNFF116X,PPI input index level 4 - Commission based wholesaling,2020.06,1120.0,1122.0
PPIQ.SQNGH1300,PPI input index level 3 - Other Store-Based Retailing and Non Store Retailing,2020.06,1142.0,1143.0
PPIQ.SQNII0000,PPI input index level 1 - Transport, postal and warehousing,2020.06,1114.0,1124.0
PPIQ.SQNII1000,PPI input index level 2 - Transport, postal and warehousing,2020.06,1114.0,1124.0
PPIQ.SQNII1100,PPI input index level 3 - Road transport,2020.06,1133.0,1142.0
PPIQ.SQNII111X,PPI input index level 4 - Road transport,2020.06,1133.0,1142.0
PPIQ.SQNII1200,PPI input index level 3 - Rail, water, air and other transport,2020.06,1031.0,1033.0
PPIQ.SQNII1300,PPI input index level 3 - Postal, courier transport support, and warehousing,2020.06,1237.0,1262.0
PPIQ.SQNJJ0000,PPI input index level 1 - Information media and telecommunications,2020.06,997.0,998.0
PPIQ.SQNJJ1000,PPI input index level 2 - Information media and telecommunications,2020.06,997.0,998.0
PPIQ.SQNJJ1100,PPI input index level 3 - Information media services,2020.06,1061.0,1062.0
PPIQ.SQNJJ111X,PPI input index level 4 - Publishing (ex internet & music),2020.06,1107.0,1110.0
PPIQ.SQNLL1100,PPI input index level 3 - Rental and hiring services (except real estate),2020.06,1223.0,1224.0
PPIQ.SQNMN114X,PPI input index level 4 - Vet & other professional services,2020.06,1212.0,1213.0
PPIQ.SQNMN2000,PPI input index level 2 - Administrative and support services,2020.06,1194.0,1195.0
PPIQ.SQNMN2100,PPI input index level 3 - Administrative and support services,2020.06,1194.0,1195.0
PPIQ.SQNRS211X,PPI input index level 4 - Repair & maintenance,2020.06,1126.0,1127.0
FPIQ.SEC14,Farm expenses price index - Dairy farms - Freight,2020.06,1102.0,1120.0
FPIQ.SEC99,Farm expenses price index - Dairy farms - All Inputs Including Livestock,2020.06,1067.0,1068.0
FPIQ.SEH14,Farm expenses price index - All farms - Freight,2020.06,1102.0,1110.0
