name,year,a0014,a1539,a4064,a6500,atot,p0014,p1539,p4064,p6500,medage
Canterbury region,2018,111600,211800,201200,98200,622800,17.9,34.0,32.3,15.8,38.4
Canterbury region,2019,112700,216000,202500,101100,632300,17.8,34.2,32.0,16.0,38.4
Canterbury region,2020,114200,221600,205700,104500,645900,17.7,34.3,31.8,16.2,38.4
Otago region,2018,38000,86000,73200,37800,235000,16.1,36.6,31.2,16.1,37.7
Otago region,2019,38200,88200,74100,39100,239700,16.0,36.8,30.9,16.3,37.7
Otago region,2020,38700,91000,75200,40400,245300,15.8,37.1,30.6,16.5,37.6
Southland region,2018,19800,31000,32900,16800,100500,19.7,30.9,32.7,16.7,39.5
Southland region,2019,19900,31400,33000,17200,101500,19.6,30.9,32.5,17.0,39.6
Southland region,2020,19900,31900,33100,17700,102600,19.4,31.1,32.3,17.3,39.6
North Island Regions,2018,744000,1297800,1168200,543700,3753700,19.8,34.6,31.1,14.5,36.5
North Island Regions,2019,752300,1318800,1181200,562500,3814800,19.7,34.6,31.0,14.7,36.7
North Island Regions,2020,760600,1348100,1200800,586700,3896200,19.5,34.6,30.8,15.1,36.9
South Island Regions,2018,202300,378900,373900,191200,1146200,17.6,33.1,32.6,16.7,39.4
South Island Regions,2019,203600,386700,376300,197200,1163800,17.5,33.2,32.3,16.9,39.4
South Island Regions,2020,205600,396500,381100,204200,1187300,17.3,33.4,32.1,17.2,39.4
New Zealand,2018,946400,1676900,1542300,734900,4900600,19.3,34.2,31.5,15.0,37.2
New Zealand,2019,956000,1705700,1557700,759800,4979300,19.2,34.3,31.3,15.3,37.3
New Zealand,2020,966400,1744800,1582100,791000,5084300,19.0,34.3,31.1,15.6,37.4
