year,resource,variable,units,magnitude,source,data_value,flag
2009.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,104941.0,R
2009.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9310094.0,R
2009.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,22340.0,F
2009.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2009.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9255132.0,R
2009.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,54962.0,R
2009.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,558606.0,R
2009.0,Oil,Generation,Gigawatt hours,Actual,MBIE,98.0,F
2009.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.1733864E7,R
2009.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,28156.0,F
2009.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.67,F
2009.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.1292208E7,R
2009.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,441656.0,R
2009.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,704032.0,R
2009.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.67,F
2009.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1440.0,R
2009.0,Solar,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2009.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2009.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1385.0,R
2009.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,55.0,R
2009.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,86.0,F
2009.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,41873.0,R
2009.0,Total generation,Prices,Number,Average,Electricity Authority,105.0,F
2009.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1047010.0,R
2009.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59.0,F
2009.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,454009.0,R
2009.0,Wind,Generation,Gigawatt hours,Actual,MBIE,1089.0,F
2009.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.03,F
2009.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,422457.0,R
2009.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,31552.0,R
2009.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,27241.0,R
2009.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,133713.0,R
2009.0,Wood,Generation,Gigawatt hours,Actual,MBIE,321.0,F
2009.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2009.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,130941.0,R
2009.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,2773.0,R
2009.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8023.0,R
2010.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,91103.0,R
2010.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,221.0,F
