sousDomaine,domaine,departement,nbOffres,nbElevesAyantInteragi,nbElevesInteresses,nbCandidatures,nbConfirmes
sante-social-sportsport,sante-social-sport,41,42,71,23,5,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,85,611,856,459,50,1
arts-culture-artisanatactivites-culturelles,arts-culture-artisanat,45,39,1101,1070,198,36
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,69,54,1065,930,232,7
commerce-marketing-ventecommerce-international,commerce-marketing-vente,2,4,5,5,0,0
economie-droit-politiquedroit-prive,economie-droit-politique,30,1,9,9,1,0
,environnement-energies-proprete,36,139,33,8,1,0
sante-social-sporttravail-social,sante-social-sport,53,28,484,62,7,1
logistique-transporttransport,logistique-transport,75,23,1241,1230,268,11
economie-droit-politiquedroit-international,economie-droit-politique,30,1,9,9,1,0
informatique-internetinformatique-de-gestion,informatique-internet,42,2,23,23,3,0
sante-social-sporttravail-social,sante-social-sport,30,1,10,9,2,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,75,7,547,547,99,4
construction-architecture-travaux-publicsmaconnerie-beton-arme,construction-architecture-travaux-publics,26,11,18,11,1,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,30,3,48,44,10,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,49,50,571,351,52,3
informatique-internetinformatique-de-gestion,informatique-internet,36,28,150,24,0,0
sante-social-sporttravail-social,sante-social-sport,41,44,2,2,0,0
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,30,1,21,19,4,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,42,1,23,23,3,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,79,1,2,2,0,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,37,46,107,38,9,0
economie-droit-politiquedroit-social,economie-droit-politique,75,13,111,105,17,3
sante-social-sporttravail-social,sante-social-sport,36,12,18,12,6,0
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,37,22,13,0,0,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,17,2,1,1,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,26,13,28,20,5,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,30,3,13,11,0,0
informatique-internetsystemes-et-reseaux,informatique-internet,86,6,26,25,4,0
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,30,3,13,11,0,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,34,6,8,3,0,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,45,141,1563,1519,214,24
mecaniqueautomobile,mecanique,30,6,27,22,4,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,30,2,15,12,0,0
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,53,57,134,101,12,1
,hotellerie-restauration-tourisme,41,27,72,35,8,0
agriculture-animauxagriculture-generalites,agriculture-animaux,61,1,1,1,0,0
lettres-langues-enseignementlangues,lettres-langues-enseignement,72,11,485,318,71,3
commerce-marketing-ventecommerce-international,commerce-marketing-vente,11,10,10,2,0,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,50,17,65,65,10,5
,environnement-energies-proprete,93,4,1,0,0,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,42,3,5,4,1,0
,sante-social-sport,41,54,24,14,0,0
informatique-internetbases-de-donnees,informatique-internet,6,1,10,10,4,0
mecaniquemachinisme-agricole,mecanique,59,2,1,1,0,0
agriculture-animauxagriculture-generalites,agriculture-animaux,41,3,1,0,0,0
,environnement-energies-proprete,28,21,12,2,0,0
,sante-social-sport,28,22,1,0,0,0
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,28,2,5,2,0,0
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,72,41,449,382,86,7
agriculture-animauxelevage-aquaculture,agriculture-animaux,28,9,19,7,0,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,50,72,214,214,20,3
arts-culture-artisanatartisanat-dart,arts-culture-artisanat,28,4,12,10,1,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,45,456,3273,3176,448,37
arts-culture-artisanatactivites-culturelles,arts-culture-artisanat,28,6,46,33,3,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,13,233,706,585,70,8
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,28,18,26,12,1,0
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,50,17,65,65,10,5
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,28,51,28,13,0,0
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,72,36,627,578,114,6
mecaniqueaeronautique,mecanique,28,2,5,2,0,0
mecaniquemachinisme-agricole,mecanique,38,2,2,2,0,0
,gestion-des-entreprises-comptabilite,37,5,3,0,0,0
environnement-energies-propreteenergies,environnement-energies-proprete,28,2,5,3,1,0
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,61,1,3,2,0,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,38,4,23,16,2,0
mecaniquemachinisme-agricole,mecanique,2,2,1,1,0,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,14,7,10,10,2,0
environnement-energies-propreteproprete,environnement-energies-proprete,41,49,90,40,4,0
information-communication-audiovisuelmultimedia,information-communication-audiovisuel,45,36,1122,1097,175,21
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,93,12,121,113,22,0
sante-social-sportmedical,sante-social-sport,28,2,23,21,5,0
environnement-energies-propreteproprete,environnement-energies-proprete,44,74,684,417,62,3
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,45,113,1176,1166,209,12
sante-social-sportsport,sante-social-sport,28,8,22,7,0,0
agriculture-animauxcultures,agriculture-animaux,78,4,6,5,1,0
informatique-internetinformatique-de-gestion,informatique-internet,28,4,25,18,8,1
agriculture-animauxcultures,agriculture-animaux,36,15,3,1,0,0
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,34,1,8,8,2,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,34,5,34,32,11,1
informatique-internetbases-de-donnees,informatique-internet,77,159,73,31,3,0
sante-social-sportsante-generalites,sante-social-sport,30,1,10,9,2,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,28,4,25,18,8,1
sante-social-sportsport,sante-social-sport,78,38,171,151,17,4
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,72,93,323,131,20,6
information-communication-audiovisuelcommunication,information-communication-audiovisuel,62,8,38,19,1,0
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,8,2,2,2,0,0
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,49,25,291,210,46,1
logistique-transportlogistique,logistique-transport,21,13,69,59,18,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,72,637,5729,3904,608,57
environnement-energies-propreteenvironnement-generalites,environnement-energies-proprete,28,25,24,8,0,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,8,13,8,8,2,0
mecaniqueaeronautique,mecanique,72,16,142,123,33,1
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,28,25,24,8,0,0
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,45,113,1176,1166,209,12
sante-social-sportmedical,sante-social-sport,49,23,494,171,18,0
environnement-energies-propretedechets-pollutions-et-risques,environnement-energies-proprete,28,25,24,8,0,0
sante-social-sportsante-generalites,sante-social-sport,28,30,52,34,7,0
agriculture-animauxagriculture-generalites,agriculture-animaux,1,1,2,2,0,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,54,3,5,3,0,0
,arts-culture-artisanat,94,5,1,0,0,0
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,75,7,547,547,99,4
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,28,8,23,17,1,0
mecaniquemachinisme-agricole,mecanique,1,2,2,2,0,0
mecaniquemachinisme-agricole,mecanique,30,3,2,2,0,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,28,15,45,28,3,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,62,7,31,17,1,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,6,3,1,1,0,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,28,9,33,24,2,0
informatique-internetsystemes-et-reseaux,informatique-internet,92,412,675,506,211,149
electricite-electronique-robotiqueelectronique,electricite-electronique-robotique,85,4,32,27,5,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,67,2,1,0,0,0
logistique-transportlogistique,logistique-transport,28,4,9,9,0,0
scienceschimie,sciences,41,1,4,3,1,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,34,6,8,3,0,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,37,146,103,50,4,1
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,85,68,477,430,95,3
banque-assurances-immobilierbanque,banque-assurances-immobilier,28,3,9,9,0,0
informatique-internetbases-de-donnees,informatique-internet,37,46,107,38,9,0
,gestion-des-entreprises-comptabilite,78,20,8,1,1,0
environnement-energies-propreteurbanisme,environnement-energies-proprete,50,6,39,39,8,2
arts-culture-artisanatarts-appliques,arts-culture-artisanat,69,1,15,13,4,0
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,28,7,53,44,4,0
environnement-energies-propreteenvironnement-generalites,environnement-energies-proprete,41,49,90,40,4,0
environnement-energies-propreteenvironnement-generalites,environnement-energies-proprete,85,35,137,96,17,3
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,23,4,1,1,0,0
economie-droit-politiquedroit-applique,economie-droit-politique,30,1,9,9,1,0
information-communication-audiovisuelcommunication,information-communication-audiovisuel,37,21,57,41,11,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,28,7,53,44,4,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,11,10,10,2,0,0
informatique-internetsystemes-et-reseaux,informatique-internet,27,5,6,1,0,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,16,3,2,2,0,0
environnement-energies-propretedechets-pollutions-et-risques,environnement-energies-proprete,45,51,1330,1318,225,23
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,8,12,2,0,0,0
informatique-internetbases-de-donnees,informatique-internet,38,3,33,33,8,0
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,50,2,1,1,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,83,1,1,1,0,0
,environnement-energies-proprete,78,54,31,3,0,0
economie-droit-politiquedroit-international,economie-droit-politique,45,37,1581,1572,321,38
informatique-internetsystemes-et-reseaux,informatique-internet,91,90,30,8,2,0
environnement-energies-propreteproprete,environnement-energies-proprete,13,63,504,461,96,41
arts-culture-artisanatarts-appliques,arts-culture-artisanat,53,28,96,72,13,1
mecaniqueautomobile,mecanique,34,21,119,112,13,3
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,41,2,32,30,1,0
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,38,4,23,16,2,0
electricite-electronique-robotiquetelecommunications,electricite-electronique-robotique,13,7,8,8,2,1
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,67,2,1,0,0,0
matieres-premieres-fabrication-industriesceramique-composites,matieres-premieres-fabrication-industries,13,1,26,26,3,0
mecaniquemachinisme-agricole,mecanique,42,2,1,1,0,0
sante-social-sporttravail-social,sante-social-sport,14,9,67,67,14,0
environnement-energies-propreteenvironnement-generalites,environnement-energies-proprete,36,139,33,8,1,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,13,24,179,175,53,7
hotellerie-restauration-tourismetourisme,hotellerie-restauration-tourisme,44,39,936,778,109,3
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,95,40,217,211,61,2
sante-social-sportparamedical,sante-social-sport,92,1,70,70,25,0
agriculture-animauxelevage-aquaculture,agriculture-animaux,13,9,17,11,2,1
arts-culture-artisanatactivites-culturelles,arts-culture-artisanat,6,1,1,1,1,1
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,13,233,706,585,70,8
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,79,1,2,2,0,0
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,53,17,51,32,11,1
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,37,46,107,38,9,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,63,15,56,56,17,1
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,34,8,73,72,8,3
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,27,2,6,4,0,0
information-communication-audiovisuelbibliotheque-documentation,information-communication-audiovisuel,13,38,510,486,103,4
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,45,31,1292,1279,296,18
hotellerie-restauration-tourismetourisme,hotellerie-restauration-tourisme,13,33,427,411,71,3
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,41,86,121,51,21,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,41,5,35,28,7,0
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,13,107,1330,1267,180,29
,informatique-internet,67,2,1,0,0,0
informatique-internetinformatique-de-gestion,informatique-internet,13,127,1143,1004,190,18
agriculture-animauxdeveloppement-agricole,agriculture-animaux,78,4,6,5,1,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,54,7,23,20,5,1
sante-social-sportsport,sante-social-sport,8,3,4,4,0,0
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,14,7,48,48,7,0
mecaniquemecanique-generalites,mecanique,41,2,1,1,1,0
economie-droit-politiquedroit-public,economie-droit-politique,13,35,935,920,252,50
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,34,2,10,9,3,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,37,32,5,1,0,0
agriculture-animauxcultures,agriculture-animaux,75,3,47,47,6,1
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,44,45,1315,1158,217,15
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,13,127,1143,1004,190,18
logistique-transportlogistique,logistique-transport,13,12,93,87,18,4
informatique-internetbases-de-donnees,informatique-internet,69,7,216,210,56,0
economie-droit-politiquedroit-social,economie-droit-politique,26,1,4,4,1,0
logistique-transporttransport,logistique-transport,21,13,69,59,18,0
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,13,233,706,585,70,8
informatique-internetsystemes-et-reseaux,informatique-internet,93,136,636,561,90,3
economie-droit-politiquedroit-prive,economie-droit-politique,26,1,4,4,1,0
environnement-energies-propreteenvironnement-generalites,environnement-energies-proprete,44,74,684,417,62,3
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,33,61,72,72,13,0
agriculture-animauxcultures,agriculture-animaux,8,2,1,1,0,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,28,18,26,12,1,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,93,1,9,9,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,49,273,3406,1935,325,6
agriculture-animauxagriculture-generalites,agriculture-animaux,72,87,524,437,67,14
informatique-internetbases-de-donnees,informatique-internet,93,136,636,561,90,3
environnement-energies-propreteenergies,environnement-energies-proprete,77,13,42,40,8,1
banque-assurances-immobilierassurances,banque-assurances-immobilier,17,11,8,7,2,0
informatique-internetsystemes-et-reseaux,informatique-internet,6,1,10,10,4,0
arts-culture-artisanatartisanat-dart,arts-culture-artisanat,72,27,381,321,69,3
environnement-energies-propretedechets-pollutions-et-risques,environnement-energies-proprete,13,63,504,461,96,41
agriculture-animauxpeche,agriculture-animaux,13,9,17,11,2,1
logistique-transporttransport,logistique-transport,90,3,1,1,0,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,1,1,2,2,0,0
economie-droit-politiqueactivite-judiciaire,economie-droit-politique,13,35,935,920,252,50
electricite-electronique-robotiqueelectronique,electricite-electronique-robotique,50,4,4,4,0,0
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,49,81,438,287,47,1
commerce-marketing-ventecommerce-international,commerce-marketing-vente,67,17,84,67,16,0
economie-droit-politiquedroit-prive,economie-droit-politique,44,8,274,181,48,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,14,11,80,80,20,1
sante-social-sporttravail-social,sante-social-sport,45,84,1836,1742,248,49
electricite-electronique-robotiqueelectronique,electricite-electronique-robotique,13,7,8,8,2,1
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,30,3,2,2,0,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,38,1,8,3,1,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,50,5,9,9,1,0
electricite-electronique-robotiqueelectronique,electricite-electronique-robotique,75,3,226,226,45,3
agriculture-animauxcultures,agriculture-animaux,28,9,19,7,0,0
economie-droit-politiquedroit-public,economie-droit-politique,92,4,48,48,11,1
informatique-internetinformatique-de-gestion,informatique-internet,85,12,85,74,16,2
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,28,2,11,7,0,0
logistique-transportlogistique,logistique-transport,45,29,523,517,108,8
mecaniquemachinisme-agricole,mecanique,28,3,3,1,0,0
informatique-internetinformatique-generalites,informatique-internet,60,5,2,0,0,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,13,9,17,11,2,1
mecaniquemachinisme-agricole,mecanique,92,2,11,11,2,0
armee-securitedefense-publique,armee-securite,13,4,248,247,81,20
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,38,4,23,16,2,0
informatique-internetinformatique-de-gestion,informatique-internet,91,90,30,8,2,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,45,113,1176,1166,209,12
agriculture-animauxpeche,agriculture-animaux,38,1,2,2,0,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,37,19,5,2,0,0
mecaniqueautomobile,mecanique,78,33,128,112,14,0
armee-securitesecurite-prevention,armee-securite,34,1,16,15,5,0
arts-culture-artisanatartisanat-dart,arts-culture-artisanat,38,2,16,12,4,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,18,205,59,21,2,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,37,55,26,13,0,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,8,4,10,10,1,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,21,14,75,64,19,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,13,63,1243,1216,221,59
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,8,16,5,1,0,0
sante-social-sporttravail-social,sante-social-sport,26,1,7,6,0,0
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,75,7,547,547,99,4
sante-social-sportmedical,sante-social-sport,13,28,896,882,157,15
,arts-culture-artisanat,45,11,28,5,0,0
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,41,29,165,105,14,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,28,4,25,18,8,1
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,50,20,92,92,7,4
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,12,7,5,2,0,0
economie-droit-politiquedroit-social,economie-droit-politique,13,35,935,920,252,50
information-communication-audiovisuelcommunication,information-communication-audiovisuel,34,3,22,22,4,0
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,13,63,504,461,96,41
informatique-internetinformatique-generalites,informatique-internet,6,1,10,10,4,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,12,7,5,2,0,0
arts-culture-artisanatactivites-culturelles,arts-culture-artisanat,72,56,751,554,124,4
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,13,66,669,632,111,21
sante-social-sportparamedical,sante-social-sport,13,21,458,448,62,4
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,77,159,73,31,3,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,41,29,165,105,14,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,12,7,5,2,0,0
informatique-internetsystemes-et-reseaux,informatique-internet,50,2,1,1,0,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,12,7,5,2,0,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,28,1,14,9,4,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,77,18,79,78,12,1
sante-social-sportsante-generalites,sante-social-sport,49,84,1790,942,150,4
agriculture-animauxdeveloppement-agricole,agriculture-animaux,30,1,2,2,0,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,10,1,2,2,0,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,92,470,1042,861,271,151
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,49,9,94,82,16,2
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,60,5,2,0,0,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,37,2,44,42,11,0
informatique-internetsystemes-et-reseaux,informatique-internet,10,1,2,2,0,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,9,5,5,0,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,46,5,1,1,0,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,93,136,636,561,90,3
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,59,8,123,94,27,1
information-communication-audiovisuelcommunication,information-communication-audiovisuel,26,9,37,31,11,0
environnement-energies-propreteproprete,environnement-energies-proprete,94,75,34,18,4,1
informatique-internetinformatique-pour-la-recherche,informatique-internet,13,127,1143,1004,190,18
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,53,33,55,42,3,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,12,7,5,2,0,0
agriculture-animauxforet,agriculture-animaux,50,4,7,7,0,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,14,22,79,76,14,1
hotellerie-restauration-tourismetourisme,hotellerie-restauration-tourisme,49,19,185,143,25,2
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,54,1,7,5,1,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,68,10,23,23,6,0
mecaniquemecanique-generalites,mecanique,36,14,6,3,0,0
economie-droit-politiquedroit-international,economie-droit-politique,49,10,170,152,24,2
agriculture-animauxagriculture-generalites,agriculture-animaux,30,1,2,2,0,0
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,1,1,2,2,0,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,41,98,44,13,1,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,54,1,2,1,0,0
informatique-internetinformatique-generalites,informatique-internet,42,2,23,23,3,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,59,8,123,94,27,1
sante-social-sporttravail-social,sante-social-sport,34,4,28,27,8,2
agriculture-animauxpeche,agriculture-animaux,72,87,524,437,67,14
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,13,773,10119,9650,1440,132
,informatique-internet,41,3,17,10,6,0
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,27,2,6,4,0,0
electricite-electronique-robotiquetelecommunications,electricite-electronique-robotique,72,7,125,100,17,1
hotellerie-restauration-tourismetourisme,hotellerie-restauration-tourisme,6,1,1,1,1,1
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,8,12,2,0,0,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,56,1,5,4,2,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,9,5,5,0,0,0
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,37,32,5,1,0,0
mecaniqueautomobile,mecanique,37,8,5,3,1,0
environnement-energies-propretedechets-pollutions-et-risques,environnement-energies-proprete,8,2,2,2,0,0
environnement-energies-propreteproprete,environnement-energies-proprete,28,25,24,8,0,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,6,1,10,10,4,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,50,17,65,65,10,5
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,26,11,30,22,5,0
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,37,8,12,4,1,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,2,4,5,5,0,0
agriculture-animauxcultures,agriculture-animaux,50,3,1,1,0,0
sante-social-sporttravail-social,sante-social-sport,37,25,14,6,0,0
electricite-electronique-robotiquetelecommunications,electricite-electronique-robotique,77,1,9,9,1,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,53,102,630,371,42,1
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,69,2,12,9,4,0
environnement-energies-propreteenvironnement-generalites,environnement-energies-proprete,8,2,2,2,0,0
logistique-transporttransport,logistique-transport,45,29,523,517,108,8
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,69,7,252,244,73,0
agriculture-animauxpeche,agriculture-animaux,75,3,47,47,6,1
informatique-internetinformatique-pour-la-recherche,informatique-internet,34,2,23,23,4,0
economie-droit-politiquedroit-prive,economie-droit-politique,13,35,935,920,252,50
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,8,8,3,3,0,0
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,50,5,12,12,1,0
informatique-internetbases-de-donnees,informatique-internet,8,2,4,4,0,0
environnement-energies-propreteurbanisme,environnement-energies-proprete,26,4,8,5,0,0
matieres-premieres-fabrication-industriesceramique-composites,matieres-premieres-fabrication-industries,8,4,1,0,0,0
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,34,5,34,32,11,1
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,8,13,11,10,2,0
sante-social-sportmedical,sante-social-sport,8,1,17,17,0,0
logistique-transporttransport,logistique-transport,42,2,4,3,1,0
armee-securitesecurite-prevention,armee-securite,72,14,424,379,77,5
informatique-internetbases-de-donnees,informatique-internet,72,28,800,761,183,19
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,75,7,547,547,99,4
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,18,71,30,6,0,0
environnement-energies-propreteproprete,environnement-energies-proprete,8,2,2,2,0,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,75,5,245,245,35,6
construction-architecture-travaux-publicsmaconnerie-beton-arme,construction-architecture-travaux-publics,85,611,856,459,50,1
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,28,18,26,12,1,0
hotellerie-restauration-tourismetourisme,hotellerie-restauration-tourisme,28,5,22,15,2,0
environnement-energies-propretedechets-pollutions-et-risques,environnement-energies-proprete,76,2,5,5,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,1,1,2,2,0,0
economie-droit-politiquedroit-public,economie-droit-politique,45,37,1581,1572,321,38
electricite-electronique-robotiquetelecommunications,electricite-electronique-robotique,49,10,127,108,13,0
