siret,enseigne,addresse,code_postal,ville,site_web,site_web_vente_en_ligne,compte_facebook,email_contact_client,tel_contact_client,description_commerce,emporter,emporter_horaire_covid,emporter_lundi,lundi_horaire_debut_1,lundi_horaire_fin_1,lundi_horaire_debut_2,lundi_horaire_fin_2,emporter_mardi,mardi_horaire_debut_1,mardi_horaire_fin_1,mardi_horaire_debut_2,mardi_horaire_fin_2,emporter_mercredi,mercredi_horaire_debut_1,mercredi_horaire_fin_1,mercredi_horaire_debut_2,mercredi_horaire_fin_2,emporter_jeudi,jeudi_horaire_debut_1,jeudi_horaire_fin_1,jeudi_horaire_debut_2,jeudi_horaire_fin_2,emporter_vendredi,vendredi_horaire_debut_1,vendredi_horaire_fin_1,vendredi_horaire_debut_2,vendredi_horaire_fin_2,emporter_samedi,samedi_horaire_debut_1,samedi_horaire_fin_1,samedi_horaire_debut_2,samedi_horaire_fin_2,emporter_dimanche,dimanche_horaire_debut_1,dimanche_horaire_fin_1,dimanche_horaire_debut_2,dimanche_horaire_fin_2,livraison,conditions_de_livraison,lundi_plage_1,lundi_plage_2,mardi_plage_1,mardi_plage_2,mercredi_plage_1,mercredi_plage_2,jeudi_plage_1,jeudi_plage_2,vendredi_plage_1,vendredi_plage_2,samedi_plage_1,samedi_plage_2,dimanche_plage_1,dimanche_plage_2,activiteprincipaleetablissement,geolocetablissement,activite_specifique,activite
44274488400010,BALADES GOURMANDES,Halles Châtelet,45000,Orléans,https://traiteurorleans.com/,https://traiteurorleans.com/vitrine-en-ligne/,https://www.facebook.com/Balades-Gourmandes-108547395886627/,info@traiteurorleans.com,02 38 62 75 34,"Plats cuisinés maison à emporter de l'entrée au dessert avec des propositions originales. 
Voir horaires du midi sur site internet",Oui,,Non,,,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,08:30,19:30,,,Oui,09:00,12:30,,,Oui,Livraison gratuite à partir de 30 € d'achat,,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,08:30 > 19:30,,09:00 > 12:30,,10.13B,"47.897986,1.908971",Charcuterie-traiteur,"Boucherie, charcuterie, produits traiteurs et fromages"
82801991900012,BIG FERNAND,13 Rue Louis Roguet,45000,Orléans,https://bigfernand.com/,https://bigfernand.com/,https://www.facebook.com/BigFernandOrleans/,orleans@bigfernand.com,02 38 15 16 17,"Venez déguster nos hamburgés faits maison, composés à la commande à partir de produits exclusivement français. Plus d'infos sur nos horaires sur notre site internet",Oui,,Oui,11:30,21:30,,,Oui,11:30,21:30,,,Oui,11:30,21:30,,,Oui,11:30,21:30,,,Oui,11:30,21:30,,,Oui,11:30,21:30,,,Oui,11:30,21:30,,,Oui,"Livraison par Deliveroo, Uber Eat et Just Eat",11:30 > 21:30,,11:30 > 21:30,,11:30 > 21:30,,11:30 > 21:30,,11:30 > 21:30,,11:30 > 21:30,,11:30 > 21:30,,56.10C,"47.900496,1.90627",Restauration rapide,Restauration traditionnelle et rapide
42967030000012,BOUCHERIE CARVALHO,6 Porte Saint Vincent,45000,Orléans,,,https://www.facebook.com/Boucherie-Carvalho-329335510438770/,manu-boucher@wanadoo.fr,02 38 53 28 11,Boucherie artisanale de petit quartier à votre service ! voir horaires détaillés sur page Facebook,Oui,,Non,,,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,13:00,,,Non,,,,,Non,,,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 13:00,,,,47.22Z,"47.904013,1.912887",Boucherie,"Boucherie, charcuterie, produits traiteurs et fromages"
79757389600017,BOUCHERIE MOUROUX,136 Rue de l'Argonne,45000,Orléans,https://www.traiteur-boissonnet-45.com/,https://www.traiteur-boissonnet-45.com/,,traiteur.boissonet@wanadoo.fr,02 38 86 44 74,"Charcutier traiteur. Venez gouter et vous nous adopterez ! Horaires détaillée sur site internet
Page Facebook : https://www.facebook.com/Traiteur-Boissonnet-Jennifer-et-Cl%C3%A9ment-Mouroux-294547920697445/",Oui,,Non,,,,,Oui,09:00,19:00,,,Oui,09:00,13:00,,,Oui,09:00,19:00,,,Oui,09:00,13:00,,,Oui,09:00,19:00,,,Non,,,,,Oui,Livraison gratuite,,,09:00 > 19:00,,09:00 > 13:00,,09:00 > 19:00,,09:00 > 13:00,,09:00 > 19:00,,,,10.13B,"47.914144,1.931776",Charcuterie-traiteur,"Boucherie, charcuterie, produits traiteurs et fromages"
51447492300026,CHOCOLATERIE ROYALE,51 Rue Royale,45000,Orléans,http://www.lachocolaterieroyale.com/,http://www.lachocolaterieroyale.com/,https://www.facebook.com/lachocolaterieroyale/,orleans@lachocolaterieroyale.com,02 38 53 93 43,Venez gouter nos délicieux chocolats fait maison ! Nous vous accueillerons avec une petite dégustation. Horaires détaillés sur page Facebook.,Oui,,Non,,,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Non,,,,,Oui,"Livraison payante en fonction de la destination, n'hésitez pas à nous appeler !",,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,,,47.11B,"47.900832,1.903132",Epicerie fine,"Epicerie fine et du monde, thés et cafés"
88794171400016,KOZZE,32 Rue Louis Roguet,45000,Orléans,https://www.kozze.fr,https://www.kozze.fr,https://www.facebook.com/kozze.fr/,hello@kozze.fr,02 38 71 06 62,"MODE Eco-Responsable. Éthique. Durable.
Kozze commercialise du Prêt à Porter Homme et Femme 100% Responsable et Ethique. 
Nous proposons également une offre cadeau, gourmandise, papeterie... toujours 100% Eco-Responsable. 
Tous nos produits sont disponible à l'achat en ligne sur www.kozze.fr",Oui,,Oui,13:00,19:00,,,Oui,13:00,19:00,,,Oui,13:00,19:00,,,Oui,13:00,19:00,,,Oui,13:00,19:00,,,Oui,13:00,19:00,,,Non,,,,,Oui,"Livraison Gratuite sur toute l'agglomération Orléanaise. 
Suite à votre commande en ligne sur www.kozze.fr nous vous contactons par téléphone pour organiser la livraison le jour et l'heure qui vous convient.",13:00 > 19:00,,13:00 > 19:00,,13:00 > 19:00,,13:00 > 19:00,,13:00 > 19:00,,13:00 > 19:00,,,,47.71Z,"47.875897,1.933851",Vêtements,"Vêtements et accessoires de mode (vente, retouches et confection)"
83855131500016,LE PETIT GAULOIS,46 Rue Jeanne d'Arc,45000,Orléans,,https://webshop.fulleapps.io/s/le-petit-gaulois/MTY3NzM4Xzk3MTU,,goutsetsaveurstraiteur@gmail.com,02 36 99 75 24,Le Petit Gaulois est une brasserie qui propose de la cuisine traditionnelle faite maison  à base de produits frais et une carte qui change toute les semaines,Oui,,Oui,11:00,14:30,,,Oui,11:00,14:30,,,Oui,11:00,14:30,,,Oui,11:00,14:30,,,Oui,11:00,20:30,,,Non,,,,,Non,,,,,Non,,11:00 > 14:30,,11:00 > 14:30,,11:00 > 14:30,,11:00 > 14:30,,11:00 > 20:30,,,,,,56.10A,"47.901408,1.903195",Restauration traditionnelle,Restauration traditionnelle et rapide
84141519300025,IDEFIX TOILETTAGE,36 Rue Sainte Catherine,45000,Orléans,https://www.toilettage-orleans.fr,,https://www.facebook.com/idefix45,idefixtoilettage45@gmail.com,02 38 81 13 14,"Salon de toilettage pour chiens et chats .Boutique d'accessoires,alimentation, cosmétiques, friandises, et produits de bien-être pour chiens et chats",Oui,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,10:00,12:00,,,Non,,,,,Oui,Livraison à domicile sur Orléans et métropole ou par mondial relay,,,,,,,,,,,10:00 > 12:00,,,,96.09Z,"47.901096,1.905426",Salon de toilettage,Salon de toilettage
84181453600014,MAISON HOPS,5 Place Louis XI,45000,Orléans,https://www.maisonhops.com,https://www.maisonhops.com/eshop/,https://www.facebook.com/maisonhops,contact@maisonhops.com,09 80 82 41 53,Vente à emporter de Bières Artisanales,Oui,,Non,,,,,Oui,15:00,19:00,,,Oui,15:00,19:00,,,Oui,15:00,19:00,,,Oui,15:00,19:00,,,Oui,11:00,18:00,,,Non,,,,,Oui,"Livraisons sur l'ensemble des communes d'Orléans Métropole.
Tarif : 5 euros (gratuit dès 60 euros d'achats)",,,15:00 > 19:00,,15:00 > 19:00,,15:00 > 19:00,,15:00 > 19:00,,11:00 > 18:00,,,,56.10A,"47.90059,1.905756",Restauration traditionnelle,Restauration traditionnelle et rapide
82311022600011,SUNCOO,2 Rue du Chariot,45000,Orléans,https://www.suncoo-paris.fr/,,,affilie.orleans@suncoo.fr,07 81 60 31 40,"Jeux de couleurs, imprimés vibrants, détails étoffés, coupes justes…
Profondément parisienne et contemporaine, Suncoo insuffle un puissant vent de liberté au vestiaire féminin.
Mailles bohèmes, mix & match, imprimés colorés et détails féminins…les collections SUNCOO accompagnent ainsi les femmes dans leur vie quotidienne pour mieux les sublimer!",Oui,,Oui,13:00,18:00,,,Oui,10:30,16:00,,,Non,,,,,Oui,10:30,16:30,,,Non,,,,,Oui,10:00,13:00,,,Non,,,,,Oui,,13:00 > 18:00,,10:30 > 16:00,,,,10:30 > 16:30,,,,10:00 > 13:00,,,,47.71Z,"47.899777,1.904677",Vêtements,"Vêtements et accessoires de mode (vente, retouches et confection)"
82113499600023,LE FLEURISTE EST DANS LA COUR,213 Rue de Bourgogne,45000,Orléans,http://www.lefleuristeestdanslacour.fr,,https://www.facebook.com/lefleuristeestdanslacour,,06 95 58 85 44,"Artisan fleuriste
Des fleurs pour tous les jours et toutes les occasions
Plantes vertes et fleuries pour l'intérieur et l'extérieur
Petite décoration
Tableaux et murs végétaux
Cours d'art floral
Services aux entreprises",Non,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,,,,,,,,,,,,47.76Z,"47.900095,1.909007",Fleuriste,Fleurs et plantes
39964534000015,CHRISTINE LAURE,82 rue Royale,45000,Orléans,,,,s.boutetfoussier@orange.fr,06 11 19 68 33,Prêt à Porter Femme,Oui,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Non,,,,,Oui,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,,,47.71Z,"47.90139,1.90402",Vêtements,"Vêtements et accessoires de mode (vente, retouches et confection)"
41865049500017,AIGLE,5 rue bannier,45000,Orléans,,,,orleans@aigle.com,02 38 54 54 38,"Prêt à porter Homme Femme
Chaussures
Bottes",Oui,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,"Drive sur RDV
Livraison à domicile",,,,,,,,,,,,,,,47.71Z,"47.903042,1.90341",Vêtements,"Vêtements et accessoires de mode (vente, retouches et confection)"
52953510600015,VER DI VIN,2 Rue des Trois Maries,45000,Orléans,http://verdivin.com,http://orleanswinetour.fr/reservations/,https://www.facebook.com/verdivinrestaurant,verdivin@orange.fr,02 38 54 47 42,"En cuisine : Laurent BROCHARD
En salle et sommellerie : Sabine BROCHARD
RESTAURANT Traditionnel, cuisine maison et de saison.
Ouvert principalement les soirs du Mardi au Samedi à la carte
et les midis avec une formule ""retour du marché"" à 25€ 5entrée + plat + dessert)
SEMINAIRE - REPAS DE FAMILLE - WORSHOP...
CAVISTE en journée les Mardi et Mercredi de 15h00 à 19h00 et du Jeudi au Samedi de 10h00 à 12h00 et de 15h à 19h00. Ouvert les 3dernières semaines de Décembre : les Dimanches et Lundis de 15h00 à 19h00
VENTE A EMPORTER : Foie Gras de Canard mi-cuit, poisson en gravelax ou cru/mariné selon arrivage,  pièces cocktails salées ou sucrées, fromages et la partie CAVISTE.
ATELIER et DINER DEGUSTATION
LIVRAISON",Oui,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,15:00,19:00,,,Oui,15:00,19:00,,,Non,,,,,Oui,"La livraison est gratuite sur Orléans et sa proche périphérie.
Conditions indiquées lors de vos commandes en ligne ou par téléphone 0238544742",,,,,,,,,15:00 > 19:00,,15:00 > 19:00,,,,56.10A,"47.900372,1.907422",Restauration traditionnelle,Restauration traditionnelle et rapide
82935097400012,DAY BY DAY,2 Place Louis XI,45000,Orléans,https://www.facebook.com/daybydayorleans/,,https://www.facebook.com/daybydayorleans/,daybyday.orleans@gmail.com,02 38 68 73 53,"vente de produits 100% vrac dans 5 familles:
- épicerie salée (pâtes, riz, épices, huiles, vinaigres, légumineuses, apéritifs)
-épicerie sucrée (cafés, thés, tisanes, sucres, farines, fruits secs, céréales, bonbons, biscuits)
-fruits et légumes BIO de saison
- droguerie (produits d'entretien pour la maison)
-cosmétiques et hygiène (savons, shampoings, dentifrice et accessoires divers)",Oui,,Oui,14:30,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Non,,,,,Oui,,14:30 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,,,47.29Z,"47.900591,1.905788",Epicerie fine,"Epicerie fine et du monde, thés et cafés"
82383361100010,CHEF LOULY,10 Rue du Grenier à Sel,45000,Orléans,https://www.instagram.com/cheflouly/,,https://www.facebook.com/cheflouly,louleec@gmail.com,06 89 37 40 78,"Cheffe à domicile, traiteurs pour tous événements, cours de cuisine",Oui,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,12:00,18:00,,,Non,,,,,Non,,,,,Non,,,,,,,,,,12:00 > 18:00,,,,,,56.21Z,"47.90303,1.901246",Traiteur,"Boucherie, charcuterie, produits traiteurs et fromages"
53878531200017,AUTHENTIC,84 rue Royale,45000,Orléans,,,,authenticdefoussier@gmail.com,02 38 73 56 13,Prêt à porter homme femme,Oui,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,"Drive sur RDV
Livraison à domicile",,,,,,,,,,,,,,,47.71Z,"47.901692,1.903979",Vêtements,"Vêtements et accessoires de mode (vente, retouches et confection)"
50806445800013,CHARCUTERIE-TRAITEUR CARRE,Halles Châtelet,45000,Orléans,,,,,02 38 62 68 81,Charcutier traiteur proposant des produits essentiellement faits maisons. N'hésitez pas à m'appeler pour prendre commande. Commande uniquement par téléphone,Oui,,Non,,,,,Oui,09:00,13:00,,,Oui,09:00,13:00,,,Oui,09:00,13:00,,,Oui,09:00,13:00,,,Oui,09:00,13:00,,,Non,,,,,Oui,Livraison commune avec les artisans des Halles Chatelet,,,09:00 > 13:00,,09:00 > 13:00,,09:00 > 13:00,,09:00 > 13:00,,09:00 > 13:00,,,,10.13B,"47.898552,1.90544",Charcuterie-traiteur,"Boucherie, charcuterie, produits traiteurs et fromages"
