nomAttribuant	idAttribuant	dateConvention	referenceDecision	nomBeneficiaire	idBeneficiaire	objet	montant	nature	conditionsVersement	datesPeriodeVersement	idRAE	notificationUE	pourcentageSubvention
Agglomération Montargoise	24450020300090		17-162	commune de saint maurice sur fessard		fonds de concours pour travaux	24400	aide en numéraire	Un seul versement 	2017-10-16		non	1
Agglomération Montargoise	24450020300090	2017-07-03	17-173	ASSOCIATION IMANIS 		Attribution d'une subvention à l'association imanis et autorisation à M. le Présideent de signer la convention afférente activité Gem'Bouge  - Attribution d'une subvention à l'association Imanis dans le cadre de son activité accueil de jour - 	26000	aide en numéraire	un seul versement	2017-08-08		non	1
Agglomération Montargoise	24450020300090	2017-07-11	17-171	PIMMS DU PLATEAU 		Attribution d'une subvention à l'association Point information Médiation Multiservices du plateau de l'AME et autorisation à M. Le Présidetn de signer la convention afférente 	28000	aide en numéraire	un seul versement	2017-07-24		non	1
Agglomération Montargoise	24450020300090	2017-03-27	17-72e	LES AMIS DES QUATRE SAISONS 		attribution d'une subvention à l'Association les Amis des quatre saisons et autorisation à M. le Président à signer la convention afférente	29000	aide en numéraire	Echelonné	2017-04-25		non	1
"Agglomération Montargoise	24450020300090	2017-02-10	17-16	LES ROUES DANS L'AME 		""Attribution d'une subvention à l'association """"les roues dans l'AME"""" pour l'organisation de l'étape à Amilly du Paris-Nice 2017 - Attribution d'une subvention aux associations organisatrices de """"Grandes Manifestations""""""	30000	aide en numéraire	echelonné	2017-03-02		non	1"
Agglomération Montargoise	24450020300090		17-164	commune de chevillon sur huillard		fonds de concours pour travaux	31850	aide en numéraire	Un seul versement 	2017-10-16		non	1
Agglomération Montargoise	24450020300090	2014-12-26	16-295	OFFICE DU TOURISME 		Avance de Trésorerie - Attribution d'une subvention ordinaire à l'otsi exercice 2017-Reversement du produit de la taxe de séjour à l'office de tourisme au titre de l'exercice 2017	33750	aide en numéraire	Echelonné	2017-01-10		non	1
Agglomération Montargoise	24450020300090	2014-12-26	17-87	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire 	33750	aide en numéraire	Echelonné	2017-04-04		non	1
Agglomération Montargoise	24450020300090	2014-12-26	17-87	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire 	33750	aide en numéraire	Echelonné	2017-06-15		non	1
Agglomération Montargoise	24450020300090	2014-12-26	17-87	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire 	33750	aide en numéraire	pour solde	2017-10-26		non	1
Agglomération Montargoise	24450020300090	2017-03-30	17-86	AIJAM 		convention cadre 	44600	aide en numéraire	un seul versement	2017-11-13		non	1
Agglomération Montargoise	24450020300090	2014-12-26	17-223	OFFICE DU TOURISME 		Reversement de la taxe de séjour au titre de l'exercice 2017	45000	aide en numéraire	un seul versement	2017-10-24		non	1
Agglomération Montargoise	24450020300090	2017-03-27	17-72a	ORPADAM 		Attribution d'une subvention à l'association ORPADAM-Clic et autorisation à M. le Présidetn à sigenr la convention afférente	45000	aide en numéraire	Echelonné	2017-10-24/2017-09-11/2017-10-06		non	1
Agglomération Montargoise	24450020300090		17-141	commune de montargis		fonds de concours renovation centre de tir de champfleuri	54540	aide en numéraire	Un seul versement 	2017-11-03		non	1
Agglomération Montargoise	24450020300090		17-262	commune de montargis		fonds de concours plateau anru	73974	aide en numéraire	Un seul versement 	2017-12-20		non	1
Agglomération Montargoise	24450020300090		17-107	commune de chalette		fonds de concours pour la création du centre municipal de santé	100000	aide en numéraire	Un seul versement 	2017-11-14		non	1
Agglomération Montargoise	24450020300090		17-253	commune de montargis		fonds de concours renovation de la culée du pont de la chaussée	110000	aide en numéraire	Un seul versement 	2017-12-06		non	1
Agglomération Montargoise	24450020300090		17-262	commune de chalette		fonds de concours plateau anru	114873	aide en numéraire	Un seul versement 	2017-12-20		non	1
Agglomération Montargoise	24450020300090		17-88	cfa		contribution 2017 centre des apprentis du loiret est	127307	aide en numéraire	Un seul versement 	2017-04-06		non	1
Agglomération Montargoise	24450020300090	2017-03-09	16-275	departement du loiret		Autorisation à monsieur le président de signer la convention DEPARTEMENT-AGGLOMERATION MONTAGOIS ET RIVES DU LOING sur les modalités de deploiement du THD sur le périmètre de l'AME	382509	aide en numéraire	Un seul versement 	2017-09-28		non	1
Agglomération Montargoise	24450020300090		17-196	commune de chalette		fonds de concours pour la construction d'une piscine	400000	aide en numéraire	Un seul versement 	2017-10-11		non	1
Agglomération Montargoise	24450020300090	2018-11-26	2018-299	IMANIS 		Attribution d'une subvention a l'association IMANIS dans le cadre de son activité d'accueil de jour au titre de l'année 2018 et autorisation à monsieur le président de signer la convention afférente	26000	aide en numéraire	un seul versement	2018-12-13		non	1
"Agglomération Montargoise	24450020300090	2018-04-03	2018-75	PIMMS DU PLATEAU 		""Attribution d'une subvention à l'association """"Point Information Médiation Multi Services du Plateau de l'AME """" (PIMMS du PLATEAU) et autorisation à Monsieur le Président de signer la convention afférente""	28000	aide en numéraire	un seul versement	2018-04-16		non	1"
Agglomération Montargoise	24450020300090		2018-158	MAIRIE DE MONTARGIS 		Contribution à la commune de Montargis pour la location d'une patinoire temporaire hiver 2017-2018	30000	aide en numéraire	un seul versement	2018-05-30		non	1
Agglomération Montargoise	24450020300090	2017-12-28	2017-289	OFFICE DU TOURISME 		Avance de trésorerie 2018 à l'Office de tourisme de l'Agglomération Montargoise	33750	aide en numéraire	echelonné	2018-01-25		non	1
Agglomération Montargoise	24450020300090	2017-12-28	2018-92	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire à l'Office de Tourisme - Exercice 2018	33750	aide en numéraire	echelonné	2018-04-06		non	1
Agglomération Montargoise	24450020300090	2017-12-28	2018-92	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire à l'Office de Tourisme - Exercice 2018	33750	aide en numéraire	echelonné	2018-06-29		non	1
Agglomération Montargoise	24450020300090	2017-12-28	2018-92	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire à l'Office de Tourisme - Exercice 2018	33750	aide en numéraire	pour solde	2018-10-02		non	1
Agglomération Montargoise	24450020300090		2018-74	CCAS DE MONTARGIS 		contribution au Centre de Planification et d'Education Familiale Exercice 2018	35000	aide en numéraire	un seul versement	2018-06-18		non	1
